FACETS,BASETERM_NAME,ENFOODNAME
A01DP,Pears,Pear
A03BN,Fruit juice concentrates,PEAR CONCENTRATE
A01MH,Dried pears,PEAR DRIED
A01QL,Other fruit spreads,PEAR FRUIT SPREAD
A048Q,Preparations for raising and flavouring home-made bakery,SODIUM BICARBONATE
A047T,Antioxidant,SODIUM ERYTHORBATE
A01PG,"Fruit compote, pear","PEAR, COOKING-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD (FATTIEST): COOKED WITHOUT FAT (N.S.)$PRESERVATION METHOD: FRESH"
A02XS,"Cheese, tomme de savoie","Tomme de Savoie n.s.,type of packaging undefined"
A0F3M,Mammals other slaughtering products,TONGUE
A020S,Bovine tongue,TONGUE BEEF
A00CN,Macaroons,SNOWBALLS
A02CG,Whiting,"WHITING, RAW"
A03DX,Carbonated bottled drinking water,SODA WATER
A021B,Pig tongue,"TONGUE, PORK, COOKING METHOD NOT APPLICABLE"
A065N,Barley groats,PEARL BARLEY
A02LK,Snails,Snails raw
A02LN,"Snail, roman","Snail, roman"
A029Q,Whitefishes or coregonus,"Whitefish, fresh"
A012G,Peas (without pods) and similar-,PEAS
A00EZ,Cereal bars plain,"Snacks, granola bars, hard, chocolate chip"
A040C,Finger food,SNACKS N.S.-FACETS_DESC: COOKING METHOD: COOKED (N.S)
A007A,Breadcrumbs,WHITE-BREAD CRUMBS
A046K,Alcoholic sweet sauce,WHITE WINE SAUCE
A03TZ,"Imitation yoghurt, non soy","SNACK WITH OAT BRAN AND FRUIT, YOSA SMOOTHIE,"
A01BJ,Primary derivatives from nuts and similar seeds,"SNACK, NUTS, HONEY AND GRAPE SUGAR BAR, SWEET"
A00FE,Corn curls,"Snack, peanut flips ANONYMOUS, ANONYMOUS"
A03SY,Protein and amino acids supplements,ANONYMOUS AMINO ENERGISE (PER 9 TABS)
A003Y,Wheat flour white,WHITE WHEAT FLOUR
A004A,"Wheat flour, brown",WHITE WHEAT FLOUR
A040X,"Pasta, filled with vegetable mix, cooked",TORTELLINI RAVIOLI WITH VEGETABLE FILLING
A02XT,"Cheese, torta del casar",TORTA DEL CASAR CHEESE
A00BH,Chocolate cake with fruits,TORTE SCHWARZWALDER-FACETS_DESC: FOOD PRODUCTION: BAKERY
A04LF,Pasta-like products,TORTELLINI
A007T,Fresh stuffed pasta,TORTELLINI GEKOOKT
A0C6L,Rotation cooked layered cakes,TORTES NOT CHOCOLATE BASED PURCHASED FROZEN
A03YQ,Omelette with vegetables,TORTILLA SPANISH OMELETTE
A02DN,Smooth hounds,"Smooth hound, raw"
A02NT,Traditional sour milk products,Traditional sour milk products
A026J,Meat specialties,TRADITIONAL WHITE HOG`S PUDDING
A01QF,Mixed dried fruits,TRAIL HAWAIIAN TROPICAL MIX MIXED NUTS DRIED FRUIT
A00CA,Cheese savoury pie,TRADITIONAL CHEESE PIE HOMEMADE
A02KF,Smoked salmon,Smoked salmon
A02GB,"Shrimps, common",SMOKED SHRIMPS
A023T,Cooked turkey meat,SMOKED TURKEY BREAST WITH VEGETABLES INCLUSION
A03SE,Nutritionally complete formulae,ANONYMOUS Complete Abbot (powder)
A01PS,Candied fruits,"Peel, candied"
A000P,Barley grains,Peeled Barley
A044D,Mushrooms cooked sauce,penny bun mushroom soup
A00HZ,Peppers and similar-,PEPPER
A018Y,"Peppercorn (black, green and white) and similar-",Pepper
A018Z,"Peppercorn (black, green and white)",PEPPER BLACK
A019A,Green pepper,PEPPER CORNS GREEN
A02ZT,"Cheese, pecorino romano",Pecorino cheese
A04QR,Other regulated additives,PECTIN
A019C,Black pepper,PEPPER
A019K,"Peppers, dried",PEPPER  CAYENNE
A00JB,Chili peppers,"Pepper, chilli"
A019B,White pepper,PEPPER WHITE
A023H,Cooked cured (or seasoned) pork meat,SMOKED MEAT - RIBS
A023C,"Ham, beef",SMOKED MEAT-FACETS_DESC: SOURCE: BEEF$BRANDNAME/PRODUCTNAME: KNOWN$SALT CONTENT: NORMALLY SALTED
A022X,Bacon,SMOKED PORK BELLY
A02KG,Smoked herring,Smoked herring
A029F,Trouts,Trout
A020V,Bovine stomach,"TRIPES BEEF, TRIPES VEAL"
A03NT,Fruit liqueur,TRIPLE SEC
A020P,Animal other slaughtering products,TRIPE
A0EYS,Smoked fish,"Smoked fish, on average"
A022T,"Ham, pork",SMOKED HAM PORK FAT 6%
A023Q,"Pastrami, beef",SMOKED BEEF
A03PP,Alcopop and flavoured wine,ANONYMOUS ICE
A02KH,Other smoked fishes,TROUT SMOKED
A043X,Bechamel sauce,"WHITE SAUCE, SAVOURY, MADE WITH WHOLE MILK"
A0F1N,White sauces,White sauces
A03AL,"Juice, grapefruit",SMALL CITRUS FRUITS JUICE FORTIFIED FROZEN READY-TO-DRINK
A029N,Rainbow trout,"TROUT, RAINBOW, GRILLED"
A026V,Fish (meat),"SMALL PEARLS FISH, CALAMOCRINUS SP.  FRESH,BATTERED;AND;FRIED"
A00ER,Rice porridge,"White rice, raw"
A00BR,Doughnuts-berliner,SMALL DOUGHNUT
A024D,Luncheon spiced ham-type tinned meat,Smac luncheon meat and similar
A00PE,Slicing bean (young pods),Slicing bean (young pods)
A03RV,Single meal replacement for weight reduction,SLIMFAST RTD MEAL REPLACEMENT DRINK
A0B9J,Soups (dry mixture uncooked),"SLIMFAST SOUP, DRY WEIGHT"
A03QQ,"Follow-on formulae, liquid","SMA LACTOSE FREE (LF) INFANT FORMULA, MADE UP"
A042D,Mixed vegetable salad,"SLAW, OFTERDINGER, ANONYMOUS"
A003E,"Rice grain, parboiled","WHITE RICE, EASY COOK, RAW"
A03MN,Beer-like beverages,SMALL BEER VOL. % 2.3
A01RK,Lamb fresh meat,SLICED LAMB ROAST DINNER
A031B,"Processed cheese, sliceable",SLICED PROCESSED CHEESE
A001D,Rice grain,"WHITE RICE, BASMATI, RAW"
A025X,Weisswurst,"White pudding,cooked n.s.,preservation method undefined,type of packaging undefined,purchase department undefined"
A035Z,Truffle mass,Truffle
A01TN,Bovine and pig fresh meat,SKEWER WITH BEEF AND PORK MINCE
A00YB,Peppermint,Peppermint
A024Y,Italian-type salami,PEPPERAMI
A025C,Chorizo and similar,Pepperoni-type sausage
A0EYH,Mammals and birds meat,SKEWER N.S.
A006S,Pita bread,WHITE PITA BREAD
A049S,"Bovine, minced meat",Skewer
A04AC,Pig minced meat,Skewer
A027N,Perch,Perch
A0DMM,Capsicum annuum hot cultivars,PEPPERS-YELLOW/BLACK/WHITE-RAW
A01SQ,Turkey fresh meat,Skewer
A01HQ,Kaki,Persimmon
A04JQ,American persimmons and similar-,Persimmon
A01KF,American persimmons,Persimmon / Kaki fruit / Sharon fruit / Date-plum
A044V,Pesto,Pesto
A0BZE,"Simple cereals for infants or children, reconstituted","Simple cereals, reconstituted with follow-on formula"
A02QK,Quark,ANONYMOUS FROMAGE FRAIS
A0FBX,Canned herring,WHITE HERRING PRESERVE
A027J,Catfishes (freshwater),"WHITE FISH, BOILED, IMPORTED, AVERAGE"
A031T,Hen egg white,WHITE EGG
A02KB,Processed or preserved fish (including processed offal),WHITE FISH DRY SALTED WITH SUGAR WHITE PEPPER DILL
A026X,Freshwater fish,WHITE FISH FRIED
A034P,White chocolate,"White chocolate with coconut flakes, ANONYMOUS"
A00GC,White cabbage,"White cabbage, raw"
A03KN,Chicory coffee infusion,"white chicory coffee, with sugar"
A006Y,Chapati,WHITE CHAPATTI MADE WITH SUNFLOWER OIL
A01SZ,Pheasant fresh meat,"PHEASANT, LEG"
A02FX,Shrimps and prawns,SHRIMPS-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: COOKING METHOD NOT APPLICABLE$PRESERVATION METHOD: MARINADED
A046D,Mixed pickle,"PICKLE, MIXED VEGETABLES"
A00ZJ,Pickled / marinated vegetables,Pickled / marinated vegetables
A0F8A,Silver carp,Silver carp
A0FBG,"Hairtails, scabbardfishes (generic)",Silver scabbardfish
A0FBT,Canned tunas and similar,Tuna
A045Y,Pickles,Picles
A0EYR,Canned/jarred fish,PICKLED HERRING W WHITE SAUCE
A00BX,Flan tart,"PIE, WITH CUSTARD-FACETS_DESC: FOOD PRODUCTION: BAKERY"
A16FY,Fried dough sweet,"Pies, pishies"
A01VA,Pig fat tissue,Pig fat tissue
A021G,Pig trotters and feet,Pig feet
A021C,Pig heart,"Pig heart, raw"
A01YM,Pig kidney,Pig kidney
A01XJ,Pig liver,"Pig liver, raw"
A021A,Pig other slaughtering products,Pig other slaughtering products
A02DR,Tuna and bonito (generic),Tuna and bonito
A011V,Tapioca starch-based snacks,"SHRIMP/CASSAVE CRACKERS ""KROEPOEK"" N.S.-FACETS_DESC: BRANDNAME/PRODUCTNAME: KNOWN"
A01TA,Pigeon fresh meat,Pigeon
A03XN,Seafood salad,TUNA MIX WITH MAYONNAISE AND CREME FRAICHE
A027T,Pike,"Pike, fresh"
A027Y,Pike-perch,"Pike-pearch / Pikepearch / Zander, fresh"
A03XV,Fish pâté,TUNA PATE
A02FZ,"Prawn, northern",Shrimp brown
A018R,Allspice fruit,PIMENTO
A03PN,Cocktail drink,PINA COLADA
A01LP,Pineapples,"Pinapple, fresh"
A014P,Pine nut kernels and similar-,PINE NUTS
A009B,"Short sweet pastry doughs (pate sucree, sablee)",SHORTCRUST PASTRY UNCOOKED
A01PB,Canned or jarred pineapple,Pineapple
A009D,Shortbread pastry,SHORTBREAD
A03AF,"Juice, pineapple",Pineapple juice
A008X,Short pastry dough and similar,"SHORTCRUST PASTRY, RAW"
A03NJ,Sherry,"SHERRY, DRY"
A007B,Croutons,Short crust balls for soup
A028X,Pink salmon,PINK SALMON RAW
A012S,Beans (dry) and similar-,"PINTO BEANS, DRIED, RAW"
A03YM,Quiche,SHELLFISH PIE FILLING 66%
A014Q,Pistachios,PISTACHIO NUT
A03ZD,Sandwich with vegetable topping/filling,PIROGUE VEGETARIAN
A03XP,Prepared fish salad,TUNA SALAD
A03VE,Shepherd's pie,SHEPHERDS PIE MADE WITH BUTTER/MARG IN POTATO
A02RD,"Cheese, telemea","SHEEP'S MILK CHEESE, ANONYMOUS"
A02QE,Cheese,"SHEEP'S-MILK CHEESE, SALTED, HAND-MIXED"
A03ZN,Pizza and pizza-like dishes,PIZZA
A008J,Yeast bread – pizza dough,Pizza dough
A04KZ,Unleavened or flat bread and similar,"PIZZA DOUGH, TANTE FANNY"
A03ZZ,"Pizza and similar with cheese, and mushrooms",PIZZA FUNGHI
A02QY,"Cheese, urda","SHEEP'S CHEESE, ANONYMOUS"
A03ZY,"Pizza and similar with cheese, meat, and vegetables",PIZZA SALAMI
A03ZR,Pizza and similar with fish/seafood topping,"PIZZA TUNA, PICCOLINOS, WAGNER"
A040B,"Pizza and similar with cheese, meat, mushrooms, and vegetables","PIZZA WITH ANY COMBINATION OF MEAT CHICKEN AND FISH TOPPINGS, WITH OR WITHOUT VEG/FRUIT, ANY BASE."
A03ZP,Pizza and similar with cheese topping,"PIZZA, 4 CHEESES"
A01RJ,Sheep (adult) fresh meat,"Sheep, meat"
A02MC,Sheep milk,SHEEP MILK
A021H,Sheep other slaughtering products,Sheep other slaughtering products
A02BC,Plaice,Plaice
A034G,Bitter chocolate,PLAIN / DARK CHOCOLATE
A00HF,Shallots,"SHALOTT, FRESH, FLESH, RAW"
A03MQ,Shandy,ANONYMOUS (BEER + LEMONAIDE)
A01LE,Plantains,PLANTAINS FRIED OR DEEP FRIED
A01HP,Kaki and similar-,"SHARON, KAKI, PERSIMON"
A01NB,"Jam, plums",Plum jam
A01PJ,"Fruit compote, plum",Plum compote
A03PK,Spirits made from stone fruits,Plum schnaps
A02QD,Milkshakes,"Shake, fast food, strawberry"
A0DNB,Shallots and similar-,"Shallot,cooking method undefined,preservation method undefined,food/ingredient source undefined"
A01MB,Dried prunes,"PLUM,DRIED"
A01GP,Plums and similar-,Plums
A038Q,Cod liver oil,ANONYMOUS PURE COD LIVER OIL
A01GX,Gages,"Plums, Reine Claudes"
A01NT,Canned or jarred plum,PLUMS IN SYRUP
A015K,Sesame seeds,"Sesame seeds, peeled"
A00ET,Cornmeal porridge,"Polenta with sunflower oil, water cooked, salted"
A02CE,"Pollack, pollock","Pollack, pollock"
A025P,Polish-type cooked sausage,POLNISCHE
A01LH,Granate apples,Pomegranate
A005V,Pretzels,POLISH PRETZEL
A03AD,"Juice, pomegranate",Pomegranate juice
A01DJ,Apples,Pome
A036E,Oil seed mass,SESAME CAKE
A01DB,Pomelos,Pomelo / Pummelo / Pommelo
A00FY,Head cabbages,WHITE CABBAGE
A030X,"Cheese, pont l'eveque","Pont-l'Eveque n.s.,type of packaging undefined,brand/product name undefined"
A02AP,"Pomfret, atlantic",Pomfret (ANONYMOUS)
A0F0B,Pig head,PORK - HEAD
A03VZ,Meat in aspic,PORK AND VEAL BRAWN/HEADCHEESE
A015J,Poppy seeds,POPPY SEED
A03VY,Meat stew,"PORK CUTLET, STEWED"
A03XB,Pork meat loaf,"PORK FRICANDEAU, PREPARED"
A03ZJ,Doner kebab,Pork gyros meat
A023A,Cured pork fat,PORK FAT
A037V,Pork lard,Pork lard
A01ZP,"Pig edible offal, non-muscle, other than liver and kidney",PORK LUNG
A0CDP,"Pasta, filled, cooked","SEMOLINA DUMPLINGS, COOKED"
A004M,Wheat starch,Semolina
A0ETL,Semolina,Semolina
A036G,Dessert halva,SEMOLINA CAKE WITH ALMONDS
A01MJ,Dried bananas,SEMI DRIED BANANA
A02XJ,"Cheese, saint paulin",SEMI HARD CHEESE: SAINT-PAULIN CHEESE
A025F,Ripened kolbasz,SEMI-DRY SAUSAGE
A02XH,"Cheese, saint nectaire",SEMI-HARD CHEESE 40-50% FIDM
A046P,Aspartame,"Seetener, artifical, aspartame"
A00XA,Celery leaves,SELERY
A026H,Cervelat (swiss type),"PORK SAUSAGE, SAVELOY TYPE"
A024X,Salami-type sausage,PORK SALAMI
A046R,Sucralose,"Seetener, artifical, sucralose"
A024L,Breakfast-type sausage,"PORK SAUSAGES, CHILLED, FRIED"
A023M,"Corned pork meat, cooked",Pork side cured and smoked
A015G,Linseeds,"Seeds, lin,no packaging"
A015X,Pumpkin seeds,"SEED, PUMPKIN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD (FATTIEST): COOKING METHOD NOT APPLICABLE"
A021E,Pig marrowbone,"PORK, BONE"
A02BJ,"Anglerfish, monkfish and stargazers","See-devil, monkfish"
A16FZ,Chia seeds,"Seed, chia"
A04EA,Turkey carcase,TURKEY
A00VJ,Dulse,SEAWEED DULSE
A00VA,Algae and prokaryotes organisms,"SEAWEED FRESH,ULVA LACTUA"
A00VH,Laver,SEAWEED NORI
A026T,"Fish, seafood, amphibians, reptiles and invertebrates",SEAFOOD
A0BZ4,Processed or preserved seafood,SEAFOOD COCKTAIL SANDWICH FILLER
A01BB,Canned or jarred common beans,WHITE BEANS IN TOMATO SAUCE
A042X,Sea salt,SEASALT WITHOUT IODINE
A04QK,Seasonings,SEASONING
A0DJY,Rock samphires,Sea vegetable samphire
A03VS,Beans and vegetables meal,WHITE BEANS BAKED IN TOMATO SAUCE CANNED
A03PF,Whisky,Whisky
A01FZ,Sea buckthorns,Sea-buckthorn berry fresh
A042V,"Salt, flavoured","SEA SALT WITH HERBS, ANONYMOUS"
A042T,"Salt, iodised and fluoridated","Sea salt, white, iodized and fluorized,"
A042P,Salt,Sea salt
A02MN,Cream sprayable,"WHIPPING CREAM, RAW"
A02BV,Cod,Sea fish (Klippfish)
A029T,Sea bass,Sea bass
A029V,Sea bream,SEA BREAM
A04KA,Salsifies and similar-,Scorzonera / Black salsify / Spanish salsify / Vegetable oyster
A032A,Hardened egg products,SCOTCH EGG MINI
A032C,Fried eggs,SCRAMBLED EGGS
A03YN,"Omelette, plain",SCRAMBLED EGGS WITH FLOUR
A032E,Manufactured solid egg roll,SCOTCH EGG MINI
A00CP,Meringue,SCHUIMBATON VANILLE-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL N.S.$BRANDNAME/PRODUCTNAME: UNDEFINED
A023V,Corned turkey,"TURKEY HAM,CURED TURKEY THIGH MEAT"
A038J,"Turkey fat, processed",TURKEY HAM
A0CSA,Spirits from fruit,"Schnaps, cherry"
A00AH,Éclair,WHIPPED CREAM CHOUX PASTRY
A02HN,"Scallops, pectens","SCALLOPS, STEAMED"
A02FS,"Lobster, norway",SCAMPI
A00GB,Savoy cabbages,"Savoy cabbages, raw"
A02CP,Scad,"SCAD, HORSE MACKEREL"
A00GM,Curly kales,SAVOY CABBAGE
A017M,"Savory, dry","Savory, dry"
A03YZ,Sandwich and sandwich-like dishes,SAVOURY SANDWICH LAYER-CAKE FILLED WITH LIVER PAT� COTTAGE CHEESE HAM
A02PN,Whey powder,"WHEY, DRIED"
A04NN,"Milk, whey and cream","WHEY, LIQUID"
A026B,Frankfurt-type sausage,TURKEY SAUSAGE FRANKFURTER STYLE
A025G,Knackwurst-type sausage,"SAVELOY, POLISH, PORK, RAW, WHOLE"
A041C,Nasi goreng,"SAVOURY RICE, COOKED"
A00YK,Winter savory,SAVORY SPICE
A02MR,"Whey, sweet",WHEY SPREAD FAT 5% FORTIFIED
A0EZB,Whey,WHEY DRINK
A02PR,Milk protein,WHEY PROTEINS
A004Q,Wheat germ,WHEATGERM
A00TA,Wheatgrass,Wheatgrass
A003X,Wheat flour,WHEATMEAL
A024G,Fresh raw sausages,Sausages
A001N,Common wheat grain,"WHEAT, PARBOILED, BOILD, ANONYMOUS"
A005D,"Wheat bread and rolls, semi-brown",WHEAT WHOLEMEAL ROLL WITH FAT FREE MILK
A01YA,Turkey liver,"TURKEY, LIVER, RAW"
A004P,Wheat bran,"WHEAT, BRAN"
A04EC,"Turkey, minced meat","Turkey, minced meat"
A04PQ,Vegetable juices,WHEAT SPROUT JUICE
A0FDG,Loukoumi,Turkish Delight
A03KD,Coffee (weak strength) beverage,"Turkish old style coffee (weak), beverage"
A03KA,Coffee beverages,Turkish coffee
A00RE,Turnips,Turnip
A167A,Coffee (strong) beverage,"Turkish, old style coffee (strong)"
A00LY,Turnip tops,"TURNIP LEAVES,TURNIP TOPS"
A004E,Wheat groats,WHEAT GRITS
A025A,German salami,"SAUSAGE, SALAMI"
A026A,Pre-cooked sausages to be cooked before consumption,"Sausage, Morteau,cooked n.s.,preservation method undefined,type of packaging undefined,brand/product name undefined,nsp le niveau de cuisson intérieure,nsp le niveau de cuisson extérieure,purchase department undefined"
A037Q,Wheat germ oil,WHEAT GERM OIL
A00EC,Wheat germs rolled flakes,WHEAT GERMS
A024N,Fresh bratwurst,"sausage, meat"
A004C,"Wheat flour, durum","WHEAT FLOUR,TYPE 405"
A025R,Bologna-type sausage,"SAUSAGE, LENKKI"
A024M,Chipolata-type sausage,"Sausage, frying (incl. chipolata, merguez, ...)"
A02YE,"Hard cheese (cheddar, emmental type)","Portuguese cheese, ""Ilha"""
A03NL,Port,Port
A00GQ,Portuguese kales,"Portuguese kales, raw"
A002K,"Barley grain, pearled",POT BARLEY COARSE
A0BYX,French fries from dough,Potato balls/figures (frozen)
A005A,"Wheat bread and rolls, white with potato",POTATO BREAD
A011S,Potato croquettes,POTATO CROQUETTE
A011G,Potato flour,POTATO FLOUR
A008D,Gnocchi,POTATO DUMPLINGS
A0C6K,Potato puree from potatoes,POTATO MASH (0)
A00ZV,New potatoes,POTATO NEW WITH FRYING LOSSES
A0C6J,Potato puree from flakes or powder,Potato puree from flakes or powder
A011E,Mashed potato powder,Potato puree powder
A0C6H,Potato puree,POTATO PURREE
A03SR,Fiber supplements,"WHEAT FIBER, INDUSTRIAL INGREDIENT"
A011F,Potato starch,Potato starch
A011T,Potato starch-based snacks,POTATO RINGS
A03VG,Prepared potato salad,POTATO SALAD
A001F,"Rice grain, long-grain",ANONYMOUS BASMATI AND THAI
A04PV,Unbottled water,Unbottled water
A0BA2,"Rice based dishes dry, uncooked",ANONYMOUS GRATINS
A00QH,Carrots,UNCOOKED CARROT
A03SZ,Coenzyme q10 formulations,Ubiquinol Vitals Ubiquinol 100 mg
A00GA,Red cabbages,UNCOOKED RED CABBAGE
A01TR,Undefined mixed poultry fresh meat,Undefined mixed poultry fresh meat
A002H,Buckwheat groats,unpodded buckwheat
A0CSB,Spirits made from fruits other than stone fruits,"UNMATURED BRANDY, BRANDY, LIQUOR"
A047E,Vanilla essence,VANILLA
A03TG,Textured fungal proteins,VALESS ONGEPANEERDE PRODUCTEN EXCL GEHAK
A01QJ,Fruit or fruit-vegetable puree,VANILLA FLAVOURED APPLE PUR�E
A046F,Dessert sauces/toppings,VANILLA CUSTARD SAUCE M
A047A,Food flavourings,VANILLA ESSENCE ARTIFICIAL
A047F,Vanilla pods extract,Vanilla pods extract
A025E,Snack sausages (like Cabanos and landjäger),"SAUSAGE, CABANOS"
A032Q,Flavoured sugar,VANILLA FLAVOURED SUGAR
A019H,Vanilla,Vanilla ANONYMOUS
A025Y,Blood and tongue sausage,"Sausage, ""tongenworst"""
A025T,Miscellaneous cooked sausages,SAUSAGE WITH ONIONS
A026F,Beerwurst,"SAUSAGE, ""BIER"""
A040D,Sausage roll,SAUSAGE PIE
A06VT,Vanillin flavour,Vanillin flavour
A047B,Flavourings,VANILLIN ARTIFICIAL
A01QY,Calf fresh meat,VEAL
A04ND,Processed whole meat products,VEAL BRAWN
A04MA,Aromatic herbs,POTHERBS
A01VV,"Goose, fresh fat tissue","POULTRY FAT, GOOSE FAT"
A02SD,"Cheese, pouligny-saint-pierre","Pouligny Saint Pierre pasteurized,no packaging"
A03VX,Goulash,VEAL GULASH
A01SN,Poultry fresh meat (muscle meat),"POULTRY, BREAST / FILLET N.S., FRESH, COOKING METHOD NOT APPLICABLE, UNDEFINED"
A03GQ,Instant coffee powder,"POWDER COFFEE, ANONYMOUS BRAND"
A0B9X,"Tomato soup, dry","Powder for instant soup, tomato"
A043T,Gravy instant granules,Powdered gravy (out of order from autumn 2013)
A02GA,White shrimp,Prawn
A03XM,Seafood-based meals,PRAWN BIRYANI
A0F3L,"Mammals edible offal, non-muscle, other than liver and kidney",SAUSAGE MADE WITH EG BARLEY AND OFFAL
A02FH,Freshwater shrimps or prawns,"PRAWN, COOKED"
A00ZE,Preserved concentrated tomatoes,Preserved concentrated tomatoes
A01PC,Canned or jarred mixed fruit,"PRESERVES, VARIETY OF FRUITS"
A01KD,Prickly pears,ANONYMOUS PEAR
A0F3Y,Probiotic or prebiotic formulations,Probiotics ANONYMOUS Orthiflor Basic
A00FF,Rice chips,ANONYMOUS RICE/POTATOE CRISPS
A031D,Processed cheese wedges and similar,"Processed cheese like Kiri,type of packaging undefined,brand/product name undefined"
A023S,Cooked cured (or seasoned) poultry meat,"Processed meat, cooked n.s."
A00AK,Profiterole,PROFITEROLE FROM CHOUX PASTRY
A025B,Pepperoni/paprika-type sausage,SAUSAGE DUNAJSKA
A036H,Gelatine dessert,PUDDING GELATINE
A025J,Cooked sausages (generic),SAUSAGE COOKED
A03ZB,Sandwich with processed meat topping/filling,"SAUSAGE AND EGG IN A MUFFIN, BAGEL OR ROLL, TAKEAWAY"
A009M,Common laminated dough,PUFF PASTRY DEEP-FROZEN
A00BP,"Croissant, filled with cream","PUFF PASTRY, FILLED WITH CREME, HOMEMADE N.S., UNDEFINED"
A00BM,Croissant,"PUFF PASTRY, WITH FRUIT, BAKERY"
A04LL,Popped cereals,PUFFED CEREALS
A006H,Puffed cereals textured bread,Puffed corn cracker
A006L,Puffed corn textured bread,Puffed corn textured bread
A005J,Pumpernickel,Pumpernickel
A0DLT,Butternut squashes,Pumpkins
A043Y,Cheese sauce,SAUS KAAS WARM
A03PS,Punch,PUNCH WITH WINE
A044B,Butter sauce,SAUS BOTER WARM
A16GK,Savoury sauce dry preparation,SAUS HFV MELK GEEN VET
A00MP,Purslanes,Purslanes
A01TB,Quail fresh meat,Quail
A0CVQ,Common quail eggs,Quail egg
A00ZK,Sauerkraut,"SAUERKRAUT, DRAINED"
A03CN,"Juice, white cabbage",SAUERKRAUT JUICE
A040R,"Pasta, cooked, with vegetables",VEGETABLE & PASTA IN A CREAMY TOMATO SAUCE
A0ETY,Extracts of plant origin,VECON
A03XZ,Vegetable casserole,VEGETABLE CASSEROLE UNSPEC.
A039B,Fat emulsions and blended fats,VEGETABLE FAT SPREAD WITH GRILLED ONIONS
A03CS,Mixed vegetable juice,VEGETABLE JUICE MIXED
A16BS,Alcoholic sauce,"SAUCE, WINE"
A03YE,"Mixed vegetables, boiled",VEGETABLE MIX PEAS CORN SWEET PEPPERS FROZEN
A037P,"Palm kernel oil, edible","Vegetable oil, palm kernel"
A04SD,Blended fat and oils,"VEGETABLE OIL, BLENDED, AVERAGE"
A005C,"Wheat bread and rolls, white with soya",Wheat bread with soya
A03RD,Ready-to-eat vegetable-based meal for children,VEGETABLE PUR�E CARROTS AND MAIZE
A004Z,"Wheat bread and rolls, white with maize",Wheat bread with maize
A03YA,Veggie pot pie,VEGETABLE PASTY PURCHASED
A03ZS,Pizza and similar with vegetable topping,VEGETABLE PANCAKE ROLL TAKEAWAY
A00ZN,Mashed vegetable puree,VEGETABLE PASTE ANONYMOUS
A0F3F,Vegetable puree or paste,Vegetable puree or paste
A03YC,"Mixed vegetables, fried",VEGETABLE PRODUCTS FRIED VEGETABLES
A045E,"Herbs, vegetables and oil sauces","Sauce, vegetable"
A01DR,Quinces,QUINCE
A0FDH,Quince cheese,Quince paste
A01MM,Jam of fruit / vegetables,QUINCE JAM
A000R,Quinoa grain,Quinoa
A01RQ,Rabbit fresh meat,"Rabbit meat, raw"
A04BV,Rabbit carcase,"RABBIT, WHOLE"
A02XF,"Cheese, raclette","Raclette n.s.,no packaging"
A00LG,Radicchio,RADICCHIO
A00LB,Lollo rosso,RADICCHIO RED-LEAVED CHICORY
A00QV,Radishes,Radish
A0DNJ,Small radishes,RADISH
A00QY,Daikon,"Radish black, daikon"
A00QT,Radishes and similar-,RADISH FRESH
A03YG,Vegetable soufflé,VEGETABLE SOUFFL�
A029K,Cutthroat trout,Rainbow trout
A0B9H,Fish sauce,"Sauce, seafood"
A01ME,Dried vine fruits (raisins etc.),Raisin
A04MN,Fruit / vegetable spreads and similar,Vegetable spread
A0F1M,"Mayonnaise, hollandaise and related sauces","Sauce, remoulade, mayonnaise based"
A045Z,Piccalilly pickle,"SAUCE, PICCALILLI-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: UNDEFINED"
A03DK,Drinking water,VEGETABLE WATER FOR COOKING
A00FJ,Vegetables and vegetable products,VEGETABLES
A0ETG,Fungi,VEGETABLES AND VEGETABLE PRODUCTS (INCLUDING FUNGI)
A03YF,"Vegetables, gratinated",VEGETABLES AU GRATIN UNSPEC.
A02DQ,Rays,"Raja ray, raw"
A0ETT,Fermented vegetables,Vegetables mixed fermented
A0DLB,Lettuces and similar-,"Vegetables raw, saladmix (curled endive, lambs let"
A044G,Mustard and related sauces,"SAUCE, MUSTARD, UNDEFINED, CATERING"
A03XS,Fish and vegetables meal,VEGETABLES OR ROOT VEGETABLES AU GRATIN WITH SHELLFISH OR FISH
A16GB,Mixed vegetables,Vegetables n.s.
A00HN,Fruiting vegetables,"VEGETABLES, FRESH"
A00ZQ,Dried vegetables,"VEGETABLES, MIXED, DEHYDRATED"
A0B9R,"Mixed vegetables soup, dry","VEGETABLES, MIXED, DEHYDRATED"
A01EP,Raspberries (red and yellow),Raspberries
A01EN,Raspberries and similar-,Raspberries (red and yellow)
A045G,Horseradish sauce,"SAUCE, HORSE RADISH, RECONSTITUTED FROM POWDER, COMMERCIAL N.S., UNDEFINED, UNDEFINED"
A01MP,"Jam, raspberries",Raspberry jam
