ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Costal marine fishes classified under the genus Dentex spp., commonly known as Dentex. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Dentex_£https://www.google.co.uk/search?tbm=isch&q=edible fish Dentex",A0FAX#F01.A08DB$F02.A0EMD$F27.A0FAX$F33.A0C39,Dentex,Dentex spp.,
"The group includes any type of juice made from Peach and Apricot. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Juice£https://www.google.co.uk/search?tbm=isch&q=Juice, peach-apricot 100% juice",A03AT#F02.A068V$F27.A01GM$F27.A01GF$F28.A0CRL$F28.A07LN$F33.A0C1X,"Juice, peach-apricot",,
"Live animal of the taxonomic species Culicoides albicans, in the family Ceratopogonidae. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/List_of_Culicoides_species £https://www.gbif.org/species/1631683",A19LV#F02.A0EJP,Culicoides albicans (as animal),Culicoides albicans,
Composite dishes where the dominant ingredient are (or are considered to be) potatoes,A06GF,Potato based dishes (as part-nature),,
"Live animal of the taxonomic species Sarpa salpa, within the Family Sparidae. The organisms are commonly known as Salema or Saupe. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sarpa-salpa.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sarpa salpa",A04YM#F02.A0EJV,Salema (as animal),Sarpa salpa,Saupe
"Live animal of the taxonomic genus Solanometra spp., within the Family Antedonidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=173878£https://en.wikipedia.org/wiki/Antedonidae",A132N#F02.A0EJR,Solanometra (generic) (as animal),Solanometra spp.,
Age classes for TSE-BSE: 72-83 months. This class is mainly used for cattle.,A16NN,72-83 months,,
"Aromatic fresh herb from the plant classified under the species Helichrysum italicum (Roth) G. Don fil., commonly known as Curry herb or Curry leaves. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Helichrysum_italicum£https://www.google.co.uk/search?tbm=isch&q=Curry herb",A0DHV#F01.A0E5Y$F02.A0F0C$F27.A0DHV$F33.A0C51,Curry herb,Helichrysum italicum (Roth) G. Don fil.,Curry leaves
"When the food is packed in a Flexible formed container, like some pouches and tetra brik",A07NZ,Flexible formed container,,
"Live animal of the taxonomic species Caribachlamys imbricata Gmelin, Chlamys imbricata Gmelin, within the Family Pectinidae. The organisms are commonly known as Knobby Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=420763£https://en.wikipedia.org/wiki/Caribachlamys_imbricata",A0B1C#F02.A0EJR,Knobby Scallop (as animal),Caribachlamys imbricata Gmelin$Chlamys imbricata Gmelin,
"Live animal of the taxonomic species Heterocarpoides levicarina, within the family Pandalidae. The organisms are commonly known as Dorodotes shrimp or Crevette dorodo or Camarón dorodó or Dorodotes Shrimp. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Heterocarpoides levicarina£https://en.wikipedia.org/wiki/Pandalidae",A0ABF#F02.A0EJQ,Dorodotes shrimp (as animal),Heterocarpoides levicarina,Crevette dorodo$Camarón dorodó$Dorodotes Shrimp
"Live animal of the taxonomic species Acanthopoma annectens, within the Family Trichomycteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Acanthopoma-annectens.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Acanthopoma",A0LSG#F02.A0EJV,Acanthopoma annectens (as animal),Acanthopoma annectens,
"Live animal of the taxonomic species Haemaphysalis inermis, in the Ixodidae family. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/Haemaphysalis",A197M#F02.A0EJP,Haemaphysalis inermis (as animal),Haemaphysalis inermis,
"Live animal of the taxonomic species Myliobatis tenuicaudatus, within the Family Myliobatidae. The organisms are commonly known as Eagle ray. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Myliobatis-tenuicaudatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Myliobatis tenuicaudatus",A0GCQ#F02.A0EJV,Eagle ray (as animal),Myliobatis tenuicaudatus,
"The food item has an alcohol content which, when rounded with the standard rules of rounding, equals 20 % (volume/volume)",A07CN,20 % alcohol v/v,,
"The group includes any type of Emulsifier, i.e. food additives which make it possible to form or maintain a homogenous mixture of two or more immiscible phases such as oil and water in a foodstuff. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Emulsion#Emulsifiers",A047V#F02.A06CF,Emulsifier,,
Sodium salt of gluconic acid generally expressed as Na(C6H11O7) and its hydrated forms.,A18XM#F02.A0F0Y$F23.A07TV,Sodium gluconate (feed),,
"Live animal of the taxonomic species Illex illecebrosus, within the Family Ommastrephidae. The organisms are commonly known as Northern shortfin squid or Encornet rouge nordique or Pota norteña. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=153087£https://en.wikipedia.org/wiki/Illex_illecebrosus",A127T#F02.A0EJR,Northern shortfin squid (as animal),Illex illecebrosus,Encornet rouge nordique$Pota norteña
"Live animal of the taxonomic species Paracaesio xanthura, within the Family Lutjanidae. The organisms are commonly known as Yellowtail blue snapper or Vivanette queue jaune or Panchote rabo amarillo. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Paracaesio-xanthura.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Paracaesio xanthura",A0927#F02.A0EJV,Yellowtail blue snapper (as animal),Paracaesio xanthura,Vivanette queue jaune$Panchote rabo amarillo
Live plant organism of the taxonomic group Senna alata (L.) Roxb. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Senna_alata,A15NX#F02.A0BA0,Senna alata (L.) Roxb. (as plant),Senna alata (L.) Roxb.,
"Live animal of the taxonomic genus Sesarma spp., within the family Grapsidae. The organisms are commonly known as Marsh Crab. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sesarma£https://en.wikipedia.org/wiki/Sesarma",A09ZF#F02.A0EJQ,Sesarma (generic) (as animal),Sesarma spp.,Marsh Crab
"Live animal of the taxonomic genus Ladigesocypris spp., within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Ladigesocypris£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Ladigesocypris",A0KEA#F02.A0EJV,Ladigesocypris (generic) (as animal),Ladigesocypris spp.,
"Live animal of the taxonomic species Gila robusta, within the Family Cyprinidae. The organisms are commonly known as Roundtail chub. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Gila-robusta.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Gila",A0JYX#F02.A0EJV,Roundtail chub (as animal),Gila robusta,
Live animal of the taxonomic subfamily Bathypolypodinae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bathypolypodinae£https://en.wikipedia.org/wiki/Bathypolypodinae,A12EE#F02.A0EJR,Bathypolypodinae (as animal),Bathypolypodinae,
"Live animal of the taxonomic species Citharichthys spilopterus, within the Family Paralichthyidae. The organisms are commonly known as Bay whiff. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Citharichthys-spilopterus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Citharichthys spilopterus",A0Y0Q#F02.A0EJV,Bay whiff (as animal),Citharichthys spilopterus,
"Live animal of the taxonomic species Cetopsogiton occidentalis, within the Family Cetopsidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Cetopsogiton-occidentalis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cetopsidae",A0M5D#F02.A0EJV,Cetopsogiton occidentalis (as animal),Cetopsogiton occidentalis,
Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008),A0C27,FA-13.1.4 Other foods for young children,,
"Live animals of the taxonomic species Aedes quasirusticus, in the Culicidae family. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/List_of_Aedes_species",A19GK#F02.A0EJP,Aedes quasirusticus (as animal),Aedes quasirusticus,
"Live animal of the taxonomic species Alosa sphaerocephala, within the Family Clupeidae. The organisms are commonly known as Agrakhan shad. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Alosa-sphaerocephala.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Alosa sphaerocephala",A0GPV#F02.A0EJV,Agrakhan shad (as animal),Alosa sphaerocephala,
"Live animal of the taxonomic species Chitala blanci, within the Family Notopteridae. The organisms are commonly known as Indochina featherback. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Chitala-blanci.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Chitala",A0HLK#F02.A0EJV,Indochina featherback (as animal),Chitala blanci,
"Live animal of the taxonomic species Cubiceps gracilis, within the Family Nomeidae. The organisms are commonly known as Driftfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Cubiceps-gracilis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cubiceps gracilis",A09VV#F02.A0EJV,Driftfish (as animal),Cubiceps gracilis,
Live plant organism of the taxonomic group Vitis amurensis Rupr. The group is relevant for the list of Botanicals. The plant is a member of the family Vitaceae. The plant is commonly known as Amur river grape. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Vitis_amurensis,A0EEM#F02.A0EKF,Amur river grape (as plant),Vitis amurensis Rupr.,
Live animal of the taxonomic family Chlorophthalmidae. The organisms are commonly known as Verdyeux or Ojiverdes. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Chlorophthalmidae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Chlorophthalmidae,A09R1#F02.A0EJV,Greeneyes (as animal),Chlorophthalmidae,Verdyeux$Ojiverdes
Sweetened dough raised with yeast,A06DC,Yeast leavened sweet doughs (as part-nature),,
"Live animal of the taxonomic species Plectropomus pessuliferus, within the Family Serranidae. The organisms are commonly known as Roving coralgrouper or Mérou-loche vagabonde or Mero errante. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Plectropomus-pessuliferus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Plectropomus pessuliferus",A0PNA#F02.A0EJV,Roving coralgrouper (as animal),Plectropomus pessuliferus,Mérou-loche vagabonde$Mero errante
"Live animal of the taxonomic species Barnea subtruncata, within the Family Pholadidae. The organisms are commonly known as Pacific mud piddock or Aile d'ange des vases or Ala de ángel fanguero. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=506981£https://en.wikipedia.org/wiki/Pholadidae",A11VF#F02.A0EJR,Pacific mud piddock (as animal),Barnea subtruncata,Aile d'ange des vases$Ala de ángel fanguero
Live plant organism of the taxonomic group Dracaena reflexa Lam. The group is relevant for the list of Botanicals. The plant is a member of the family Asparagaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Dracaena_reflexa,A14EC#F02.A0BA0,Dracaena reflexa Lam. (as plant),Dracaena reflexa Lam.,
"Live animal of the taxonomic species Brachyplatystoma filamentosum, within the Family Pimelodidae. The organisms are commonly known as Kumakuma. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Brachyplatystoma-filamentosum.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Brachyplatystoma filamentosum",A0806#F02.A0EJV,Kumakuma (as animal),Brachyplatystoma filamentosum,
"Live animal of the taxonomic genus Liachirus spp., within the Family Soleidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Liachirus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Liachirus",A0XTE#F02.A0EJV,Liachirus (generic) (as animal),Liachirus spp.,
Live plant organism of the taxonomic group Phellodendron chinense C.K.Schneid. The group is relevant for the list of Botanicals. The plant is a member of the family Rutaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Phellodendron_chinense,A15CE#F02.A0BA0,Phellodendron chinense C.K.Schneid. (as plant),Phellodendron chinense C.K.Schneid.,
Live plant organism of the taxonomic group Sium ninsi Thunb. The group is relevant for the list of Botanicals. The plant is a member of the family Apiaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Sium,A15QL#F02.A0BA0,Sium ninsi Thunb. (as plant),Sium ninsi Thunb.,
"Live animal of the taxonomic genus Xenocharax spp., within the Family Distichodontidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Xenocharax£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Xenocharax",A0JKK#F02.A0EJV,Xenocharax (generic) (as animal),Xenocharax spp.,
"Spices from the buds of the plant classified under the species Cinnamomum loureirii Nees or Cinnamomum loureiroi Nees, commonly known as Saigon cinnamon buds or Saigon cassia buds. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Cinnamomum_loureiroi£https://www.google.co.uk/search?tbm=isch&q=Saigon cinnamon buds",A0CXX#F01.A0E2S$F02.A066Z$F27.A0CXX$F33.A0C2M,Saigon cinnamon buds,Cinnamomum loureirii Nees$Cinnamomum loureiroi Nees,Saigon cassia buds
"Live animal of the taxonomic species Labeo coubie, within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Labeo-coubie.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Labeo",A0JVN#F02.A0EJV,Labeo coubie (as animal),Labeo coubie,
"Live animal of the taxonomic species Cobitis aurata, within the Family Cobitidae. The organisms are commonly known as Golden spined loach. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Cobitis-aurata.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cobitis",A0KQP#F02.A0EJV,Golden spined loach (as animal),Cobitis aurata,
"Pulses (dried legume seeds) from the plant classified under the species Mucuna urens, commonly known as Οx-eye bean (dry seeds). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. £https://en.wikipedia.org/wiki/Mucuna_urens £https://www.google.co.uk/search?q=Ox+eye+bean&tbm=isch&ved=2ahUKEwitk8ifs82DAxVilScCHcdZCikQ2-cCegQIABAA&oq=Ox+eye+bean&gs_lcp=CgNpbWcQAzIFCAAQgAQ6CggAEIAEEIoFEEM6BggAEAgQHlD7CFj2F2CVGmgAcAB4AYABqwKIAfQKkgEFOS4xLjKYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=4LWbZa2jA-KqnsEPx7OpyAI",A199L#F01.A199K$F02.A0ERV$F27.A199L$F28.A07KG$F33.A0C4V,Οx-eye bean (dry seeds),Mucuna urens,
"Live animal of the taxonomic species Upogebia capensis, within the family Upogebiidae. The organisms are commonly known as Cape mud shrimp. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=246491£https://en.wikipedia.org/wiki/Upogebia_capensis",A0ZKR#F02.A0EJQ,Cape mud shrimp (as animal),Upogebia capensis,
Animal parts used as food,A069D,Animal commodities (as part-nature),,
"Live organism of the taxonomic group Sargassum fusiforme (Harv.) Setch., Hizikia fusiformis (Harv.) Setch. The organisms are commonly known as Hijiki or Hiziki or Iziki. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Sargassum_fusiforme",A05MR#F02.A0EKA,Hijiki (as organism),Sargassum fusiforme (Harv.) Setch.$Hizikia fusiformis (Harv.) Setch.,Hiziki$Iziki
Live plant organism of the taxonomic group Centaurea centaurium L. The group is relevant for the list of Botanicals. The plant is a member of the family Asteraceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Centaurea,A140T#F02.A0BA0,Centaurea centaurium L. (as plant),Centaurea centaurium L.,
Live animal of the taxonomic family Haliotidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Haliotidae£https://en.wikipedia.org/wiki/Haliotidae,A107Q#F02.A0EJR,Haliotidae (as animal),Haliotidae,
"Live animal of the taxonomic species Procottus gurwici, within the Family Abyssocottidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Procottus-gurwici.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Procottus",A0XLX#F02.A0EJV,Procottus gurwici (as animal),Procottus gurwici,
"Live animal of the taxonomic genus Protomyzon spp., within the Family Balitoridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Protomyzon£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Protomyzon",A0KVK#F02.A0EJV,Protomyzon (generic) (as animal),Protomyzon spp.,
"Live animal of the taxonomic genus Trachelyichthys spp., within the Family Auchenipteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Trachelyichthys£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Trachelyichthys",A0L5F#F02.A0EJV,Trachelyichthys (generic) (as animal),Trachelyichthys spp.,
"Live animal of the taxonomic species Labeo dero, within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Labeo-dero.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Labeo",A0JVD#F02.A0EJV,Labeo dero (as animal),Labeo dero,
"The group includes any type of juice made from Orange and Peach. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Juice£https://www.google.co.uk/search?tbm=isch&q=Juice, orange-peach 100% juice",A03AZ#F02.A068V$F27.A0DZB$F27.A01GM$F28.A0CRL$F28.A07LN$F33.A0C1X,"Juice, orange-peach",,
"Live plant organism of the taxonomic group Smilax officinalis Kunth, Smilax tonduzii Apt., Smilax vanilliodora Apt. The group is relevant for the list of Botanicals. The plant is a member of the family Smilacaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Smilax",A15QT#F02.A0BA0,Smilax officinalis Kunth (as plant),Smilax officinalis Kunth$Smilax tonduzii Apt$Smilax vanilliodora Apt,
"Live animal of the taxonomic species Coilia neglecta Whitehead, within the family Engraulidae. The organisms are commonly known as Neglected grenadier anchovy. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Coilia-neglecta.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Coilia neglecta",A095E#F02.A0EJV,Neglected grenadier anchovy (as animal),Coilia neglecta Whitehead,
"Live animal of the taxonomic species Trachinotus teraia, within the Family Carangidae. The organisms are commonly known as Shortfin pompano or Pompaneau né-bé or Pámpano terayo. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Trachinotus-teraia.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Trachinotus teraia",A0Q8K#F02.A0EJV,Shortfin pompano (as animal),Trachinotus teraia,Pompaneau né-bé$Pámpano terayo
"Live animal of the taxonomic species Abythites lepidogenys, within the Family Bythitidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Abythites-lepidogenys.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Abythites lepidogenys",A0NTY#F02.A0EJV,Abythites lepidogenys (as animal),Abythites lepidogenys,
"Live animal of the taxonomic genus Matuta spp., within the family Calappidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Matuta£https://en.wikipedia.org/wiki/Matuta",A0ZQJ#F02.A0EJQ,Matuta (generic) (as animal),Matuta spp.,
"Live animal of the taxonomic species Culicoides achrayi, in the family Ceratopogonidae. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/List_of_Culicoides_species £https://www.gbif.org/species/1631718",A19LS#F02.A0EJP,Culicoides achrayi (as animal),Culicoides achrayi,
"Live animal of the taxonomic species Lutjanus cyanopterus, within the Family Lutjanidae. The organisms are commonly known as Cubera snapper or Vivaneau cubera or Pargo cubera. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Lutjanus-cyanopterus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lutjanus cyanopterus",A0914#F02.A0EJV,Cubera snapper (as animal),Lutjanus cyanopterus,Vivaneau cubera$Pargo cubera
Live plant organism of the taxonomic group Aframomum exscapum (Sims) Hepper. The group is relevant for the list of Botanicals. The plant is a member of the family Zingiberaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Aframomum,A13HF#F02.A0BA0,Aframomum exscapum (Sims) Hepper (as plant),Aframomum exscapum (Sims) Hepper,
"Live animal of the taxonomic species Sphyraena chrysotaenia, within the Family Sphyraenidae. The organisms are commonly known as Yellowstripe barracuda. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sphyraena-chrysotaenia.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sphyraena chrysotaenia",A08TC#F02.A0EJV,Yellowstripe barracuda (as animal),Sphyraena chrysotaenia,
Categories defined in Legislation for Acrylamide monitoring,A168C,AC-7.   Coffee and coffee substitutes,,
"Live animal of the taxonomic species Crangon franciscorum, within the family Crangonidae. The organisms are commonly known as California shrimp or Crevette californienne or Quisquilla californiana. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=241261£https://en.wikipedia.org/wiki/Crangon_franciscorum",A0Z8Q#F02.A0EJQ,California shrimp (as animal),Crangon franciscorum,Crevette californienne$Quisquilla californiana
"The group includes Duck fresh meat, from the species Anas platyrhynchos domesticus and Cairina moschata momelanotus (with possible presence of intrinsic amounts of fat). When relevant, additional information has to be reported with facet descriptors.£https://en.wikipedia.org/wiki/Meat£https://www.google.co.uk/search?tbm=isch&q=Duck fresh meat",A01SR#F01.A058B$F02.A0BYZ$F27.A01SR$F33.A0C3M,Duck fresh meat,Anas platyrhynchos domesticus$Cairina moschata momelanotus,
"Live animal of the taxonomic species Hadriania craticuloides, within the Family Muricidae. The organisms are commonly known as Crested murex or Murex côtelée or Busano esculpido. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hadriania craticuloides£https://en.wikipedia.org/wiki/Hadriania_(gastropod)",A106T#F02.A0EJR,Crested murex (as animal),Hadriania craticuloides,Murex côtelée$Busano esculpido
"Live animal of the taxonomic species Blicca bjoerkna, within the Family Cyprinidae. The organisms are commonly known as White bream. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Blicca-bjoerkna.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Blicca bjoerkna",A07Z8#F02.A0EJV,White bream (as animal),Blicca bjoerkna,
"Live animal of the taxonomic genus Leiopotherapon spp., within the Family Terapontidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Leiopotherapon£http://www.marinespecies.org/aphia.php?p=taxdetails&id=269622",A0PRL#F02.A0EJV,Leiopotherapon (generic) (as animal),Leiopotherapon spp.,
"Live animal of the taxonomic species Oreochromis pangani, within the Family Cichlidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Oreochromis-pangani.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Oreochromis",A0RAG#F02.A0EJV,Oreochromis pangani (as animal),Oreochromis pangani,
The group includes Phytochemicals used as fortifying agents. They are produced from herbs or extracted from vegetables. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion. £https://en.wikipedia.org/wiki/Phytochemicals,A0EVM#F02.A06GA,Phytochemicals,,
"Live animal of the taxonomic genus Paratrachichthys spp., within the Family Trachichthyidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Paratrachichthys£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Paratrachichthys",A0P1S#F02.A0EJV,Paratrachichthys (generic) (as animal),Paratrachichthys spp.,
"The group includes any type of Corned pork, uncooked. The part consumed/analysed is by default either the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://www.google.co.uk/search?tbm=isch&q=Corned pork, uncooked",A022Z#F02.A06AP$F27.A01RG$F28.A07KD$F33.A0C3J,"Corned pork, uncooked",,
"Product of oil manufacture, obtained by - pressing of seeds of the niger plant Guizotia - abyssinica (Lf) Cass. (Ash insoluble in HCl: maximum 3,4 %)",A0BF2#F02.A0F0Y$F23.A07TV$F27.A0D0Y,Niger seed - expeller (feed),,
"Live animal of the taxonomic genus Pseudolaguvia spp., within the Family Sisoridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Pseudolaguvia£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pseudolaguvia",A0LFT#F02.A0EJV,Pseudolaguvia (generic) (as animal),Pseudolaguvia spp.,
Live plant organism of the taxoconomic group Ptychopetalum uncinatum Anselmino. The group is relevant for the list of Botanicals. The plant is a member of the family Olacaceae. The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0001252993,A17FY#F02.A0BA0,Ptychopetalum uncinatum Anselmino (as plant),Ptychopetalum uncinatum Anselmino,
Live plant organism of the taxonomic group Menispermum dauricum DC. The group is relevant for the list of Botanicals. The plant is a member of the family Menispermaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Menispermum,A154S#F02.A0BA0,Menispermum dauricum DC. (as plant),Menispermum dauricum DC.,
Live plant organism of the taxonomic group Lycoris sanguinea Maxim. The group is relevant for the list of Botanicals. The plant is a member of the family Amaryllidaceae. The part considered is by default the whole living organism. £https://wfoplantlist.org/plant-list/taxon/wfo-0000683495-2023-06?page=1,A193A#F02.A0BA0,Lycoris sanguinea Maxim. (as plant),Lycoris sanguinea Maxim.,
"Live animal of the taxonomic species Sebastes paucispinis, within the Family Scorpaenidae. The organisms are commonly known as Bocaccio rockfish or Sébaste bocace or Chancharro bocacio. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sebastes-paucispinis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sebastes paucispinis",A08MM#F02.A0EJV,Bocaccio rockfish (as animal),Sebastes paucispinis,Sébaste bocace$Chancharro bocacio
"Live animal of the taxonomic genus Hoplosebastes spp., within the Family Scorpaenidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Hoplosebastes£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hoplosebastes",A0VTQ#F02.A0EJV,Hoplosebastes (generic) (as animal),Hoplosebastes spp.,
"Live animal of the taxonomic species Bahaba taipingensis, within the Family Sciaenidae. The organisms are commonly known as Chinese bahaba. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Bahaba-taipingensis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bahaba taipingensis",A0QQE#F02.A0EJV,Chinese bahaba (as animal),Bahaba taipingensis,
"Live animal of the taxonomic species Rhamdiopsis moreirai, within the Family Pimelodidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Rhamdiopsis-moreirai.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rhamdiopsis",A0LRN#F02.A0EJV,Rhamdiopsis moreirai (as animal),Rhamdiopsis moreirai,
Spanish lime or genip as living plant including all members of the taxonomic group Melicoccus bijugatus Jacq. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Melicoccus_bijugatus,A064C#F02.A0EKF,Spanish lime or genip (as plant),Melicoccus bijugatus Jacq.,
