termCode,termExtendedName,termScopeNote
A0B92,Fat-content,"This is a facet with numerical descriptors, to allow providing the fat content (as percentage w/w) of a food item. Only one descriptor from this facet can be added to each entry."
A0B93,Qualitative-info,"This facet provides some principal claims related to important nutrients / ingredients, like fat, sugar etc. It is not intended to include health claims or similar. The present draft provides a limited list, to be eventually improved during the evolution of the system. More than one descriptor from this facet can be added to each entry."
A0B94,Alcohol-content,"This is a facet with numerical descriptors, to allow providing the alcohol (ethanol) content (as percentage v/v) of a food item. The European Union follows recommendations of the International Organization of Legal Metrology (OIML). OIML International Recommendation No. 22 (1973) provides standards for measuring alcohol strength by volume and by mass. A preference for one method over the other is not stated in the document, but in this case alcohol strength by volume is used, expressed as a percentage (%) of total volume, assuming that the water/alcohol mixture have a temperature of 20°C when measurement is performed.The descriptors of this facet are a positive list of numbers (approx. 200). The list proposes numbers from 0 to 10 at interval of 0.1 and from 11 to 100 at interval of 1.Only one descriptor from this facet can be added to each entry."
A0B95,Process,"This facet allows recording different technological steps or treatments applied while producing a food item, including the way a food item has been heat treated before consumption and different preservation treatments a food item underwent. More descriptors from this facet can be added to each entry, in case of use of combined methods. The facet integrates all the processing facet descriptors. (The use of the partial facets F13-F16 is discouraged and the use instead of the comprehensive facet process (F28) is encouraged.)"
A0B96,Extent-of-cooking,"This facet describes the intensity of heat treatment having been applied to a food item in the categories meat, fish-seafood, vegetables, eggs, bread and similar. Only one descriptor in this facet should be chosen per food, apart from the specification “Meat/fish/bakery/vegetables: presence of burned spots-parts”, that can be added to other descriptors."
A0B97,Packaging-format,This facet is used for packaged food and allows recording the container or wrapping form. Only one descriptor from this facet can usually be added to each entry.
A0B98,Packaging-material,"This facet is used for packaged food and allows recording the material constituting the packaging containing the food. In case of combined material, it describes all the material, not only the part in contact with food. Only one descriptors for this facet is normally used for this facet with some exceptions when the primary container of the food is done of different materials (e.g. metal can with top and bottom of plastic)."
A0B99,Part-consumed-analysed,"When reporting food analysed or consumed, this facet allows specifying in which form the food item was analysed or consumed. Several descriptors from this facet can be added to each entry. this facet is particularly important to distinguish the part analysed from the entire food. Normally the descriptor are 'with' and 'without' a particular part. In some specific cases like surrounding medium three descriptors are available: 'with', 'without' and 'only', to allow covering all the possible cases of analyses performed."
A0B9A,Production-method,"This facet describes the method used to produce the food. It is mainly applicable for foods from plant or animal origin. This facet should only be used in case of raw foods and ingredients (not for composite foods). More than one descriptor of this facet might be chosen per food (for instance: an outdoor and organic production), but only for those descriptors that are not contradictory (e.g. domesticated and wild are not compatible)."
A0B9B,Preparation-production-place,This facet allows recording the place where the food was prepared for consumption. Only one descriptor in this facet should be chosen for each food item.
A0B9C,Target-consumer,"This facet allows recording different consumer classes intended as target for the food item. For laboratory uses when reporting analyses for feed, a list or target animals is also included. Several descriptors from this facet can be added to each entry, in case of multiple targets."
A0B9D,Intended-use,"This facet allows recording the intended use of a food item, in particular with respect to further treatment expected (or not expected) before consumption. Only one descriptor should be chosen for this facet."
A0B9E,Risky-ingredient,"This facet (of specific interest in the microbiological domain) allows recording the presence of microbiologically high-risk ingredients. More than one descriptor can be applied to each food item, provided they are not contradicting each other."
A0B9F,Generic-term,This facet allows recording whether the food list code was chosen because of lack of information on the food item or because the proper entry in the food list was missing. Only one descriptor from this facet can be added to each entry.
A0BA0,Live plants (as part-nature),The facet descriptor refers to the entire plant including all its parts
A0BA1,Cooking and similar thermal preparation processes,"Treatment covered in detail by a group of facet descriptors collecting all thermal preparation steps not strictly related to preservation, but related to the way the food is prepared e.g. for consumption."
A0BA5,In air (normal atmosphere),The food item bearing this facet descriptor is packed in a container with empty space filled with air
A0BA6,In modified atmosphere,The food item bearing this facet descriptor is packed in a containerwith empty space filled with modified atmosphere (e.g. to guarantee a longer shelf-life)
A0BA7,Food simulants,Special matrices used in standardised migration studies for food contact materials
A0BA8,Ethanol 10 % (v/v) (Food Simulant A),Ethanol 10 % (v/v) (Food Simulant A) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011
A0BA9,"Poly(2,6-diphenyl-p-phenylene oxide), particle size 60-80 mesh, pore size 200 nm (Food Simulant E)","Poly(2,6-diphenyl-p-phenylene oxide), particle size 60-80 mesh, pore size 200 nm (Food Simulant E) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011"
A0BAA,Vegetable oil (Food Simulant D2),Vegetable oil (Food Simulant D2) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011
A0BAB,Ethanol 95% (v/v),Ethanol 95% (v/v) is a special matrix defined for standardised migration studies for food contact materials. In Commission Regulation (EU) No 10/2011 is defined as replacement for Food Simulant D2.
A0BAC,Ethanol 50% (v/v) (Food Simulant D1),Ethanol 50% (v/v) (Food Simulant D1) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011
A0BAD,Ethanol 20% (v/v) (Food Simulant C),Ethanol 20% (v/v) (Food Simulant C) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011
A0BAE,Distilled water or water of equivalent quality,"Distilled water or water of equivalent quality is a special matrix defined for standardised migration studies for food contact materials. In Commission Regulation (EU) No 10/2011 is defined as replacement for A, B, D2 in overall migration tests."
A0BAF,Acetic acid 3% (w/v) (Food Simulant B),Acetic acid 3% (w/v) (Food Simulant B) is a special matrix defined for standardised migration studies for food contact materials as defined in Commission Regulation (EU) No 10/2011
A0BXX,Isolated purified ingredients (including mineral or synthetic),The category covers any type of isolated purified ingredients (including mineral or synthetic) that have been obtained by extraction and purification from raw sources or by chemical processes.
A0BYG,Preservation treatments not changing nature,"The facet descriptor refers to those types of treatment that don't change the nature of food, not trtansforming it into a different derivative."
A0BYJ,Mineral or synthetic sources,All types of Mineral or synthetic source. The part considered is by default undefined and may be further specified with facets.
A0BYK,Other organs (non-muscle) (as part-nature),The facet descriptor refers to all internal non muscle organs of an animal's body (mostly glands or specialized tissues)
A0BYL,Other slaughtering products (as part-nature),The facet descriptor refers to all those parts of the body having a muscular or connective nature
A0BYM,Protective packing,Process of packing food in a package in order to protect it from external physical or biological contamination
A0BYN,Aseptic filling,"Process of filling sterilised food into a pre-sterilised packaging (usually, but not necessarily, flexible sealable containers)"
A0BYP,Canning / jarring,"Process of packing food into rigid container like cans or jars. Depending on the pH, products are then usually pasteurised or sterilised in the closed package, to ensure longer shelf-life (preserves). Alternatively, the products are preserved by salting or other non-thermal preserving methods before canning (semi-preserves). While preserves are stable for long time at room temperature, semi-preserves are usually stored in the cold chain and have a shorter shelf life."
A0BYQ,Non-food matrices,"Group covering all the matrices that are analysed in the domain of food control but are not food, like biological samples, swabs, environmental samples, additives analysed for purity etc. The simulants used for testing the migration from contact materials are included."
A0BYZ,Mammals and birds meat (as part-nature),"Bulk pieces, slices or other cuts of butcher-separated carcase meat. MSM is in a dictinct category but minced meat is included here. Some specific poultry cuts have a separate definition (breast, leg, wing)."
A0BZ0,Maltodextrins and similar (as part-nature),Middle and long chain polysaccharides with reduced sweetening power used among other as bulking agents and source of energy.
A0BZ1,Inulin and other polyfructoses (as part-nature),"Product consisting of polyfructose chains of different length, mainly obtained by chicory or similar roots."
A0BZ2,Fermented milk (as part-nature),The facet descriptor refers to items obtained by bacterial fermentation of milk
A0BZ3,Fermented cream (as part-nature),The facet descriptor refers to items obtained by bacterial fermentation of cream
A0BZ6,Marinated meat (as part-nature),"Meat prepared for the final preparation or for consumption, by marinating or adding (small amounts of) condiments"
A0BZG,Aspiration,"Process generally used e.g. to remove dust, fine particles and other parts with suspended cereal fines from a bulk of grain during transfer by means of an air-flow"
A0BZH,Air fractionation,Separation of particles by means of an air stream
A0BZJ,Condensation (gas to liquid),Transition of a substance from a gaseous to a liquid phase
A0BZK,Depectinising,Extraction of pectin from a feed or food material
A0BZL,Desliming,Process used to remove the slime layer on the surface
A0BZM,Desugaring,Complete or partial removal of mono- and disaccharides from molasses and other material containing sugar by chemical or physical means.
A0BZN,Pressing,"Physical removal of liquids like fat, oil, water or juice from solids. Pulp, pomace (in case of fruits, etc.)Pressed pulp (in case of sugar beet)"
A0BZP,Filtration,Separating by conventional filtration. Separation of a mixture of liquid and solid materials by passing the liquid through a porous medium or membrane.
A0BZQ,Super-critical gas extraction,Extraction using as fluid phase a gas in super-critical state
A0BZR,Solvent extraction,Extraction using as fluid phase a non-water solvent
A0BZS,Water or steam extraction,Extraction using as fluid phase water in any fluid state
A0BZT,Refining,Complete or partial removal of impurities or unwanted components by chemical/-physical treatment.
A0BZV,Polishing,"The polishing of dehulled grain, e.g. rice, by rotation in drums or other techniques removing the surface layer of the grain resulting in a grain with a bright, shiny appearance."
A0BZX,Pelleting,Shaping by compression through a die
A0BZY,Fractionation,Separation of food or feed material fragments by sieving and/or treated with a stream of air that carries the light shell pieces away.
A0BZZ,Whole production processes,This section includes some production technologies that consist of many steps but are often considered as one process.
A0C00,Winemaking,"The process to produce wine, including all different variants and types."
A0C01,Beer production,"The process to produce beer, including all the different variants and types."
A0C02,Oil production,"The process of producing edible oil, including the different types and variants"
A0C03,Grain milling,"The process of milling grains, including all different stages and variants"
A0C04,Sugar production,"The process of producing sugar from sugar plants, including all different types and variants."
A0C05,Fodder production,The process of producing silage and more generally fodder from raw materials and ingredients.
A0C06,Oil production - mechanical cold,"Processes for oil production only based on mechanical treatments, without heating."
A0C07,Oil production - solvent based,Processes for oil production only based on use of solvents
A0C08,Oil production - mechanical warm,"Processes for oil production only based on mechanical treatments, including a heating phase."
A0C09,Grain milling - early stages (cleaning),"Early stages of the complex milling process, aiming at removing the external layers of the grains and the germ"
A0C0A,Grain milling - flours production,"Milling process for the production of different types of flours from grains, with different granulometry and level of refinement"
A0C0B,Starch production,Particular wet-milling process aimed at producing starches from grains
A0C0C,Spray drying,Reducing the moisture content of a liquid by creating a spray or mist of the feed material to increase the surface area to weight ratio through which warm air is blown.
A0C0D,Gravitational separation,Process of separating the lighter components from a liquid taking advantage of their tendency to float.
A0C0E,Rumen protection,"Process used in feed for ruminants which, either by physical treatment with use of heat, pressure, steam and combination of such conditions and/or through the action of processing aids, aims to protect the nutrients from degradation in the rumen"
A0C0F,Micronisation,"Process of reducing the average diameter of a solid material's particles to the micrometer scale. Not to be confused with 'Infra-red micronisation', term used to define a radiation-based quick thermal treatment."
A0C0G,Gelling,"Process to form a gel, a solid, jelly-like material that can have properties ranging from soft and weak to hard and tough usually using gelling agents"
A0C0H,Melting,Transition from a solid to a liquid phase by the application of heat.
A0C0J,Liquefying,Transition from a solid or a gas phase into a liquid. Includes melting and condensation.
A0C0K,Maceration,Reducing the size of feed or food materials using mechanical means in the presence of water or other liquids.
A0C0L,Malting,Allowing grain to commence germination to activate naturally occurring enzymes that are able to break down starch to fermentable carbohydrates and proteins to amino acids and peptides.
A0C0M,Detoxification,Process by which toxic contaminants are destroyed or reduced in concentration.
A0C0N,Preservation with substances / ingredients,The facet descriptor refers to preservation obtained using ingredients or chemical substances having preserving properties.
A0C0P,Modification with substances / ingredients,The facet descriptor refers to treatments transforming one food into a different (derived) one by interaction with ingredients or chemical substances potentially changing the nature of food
A0C0Q,Generic process descriptors,"Generic descriptors defining whether the food has been subject to treatments or not, without entering into details on the specific treatment."
A0C0R,Processed,"The raw food has been subject to such a treatment that the domain specific characteristics are expected to be changed and prompt for use of processing factors. It should be noted that this term is a generic vocabulary term for which the meaning in terms of what is included and what is excluded is not pre-defined, but is established by the domain-specific regulations depending on the type of data reported."
A0C0S,Unprocessed,"The raw food has not been subject to treatments, or has been subject to such a treatment that the domain specific characteristics are expected to be unchanged. It should be noted that this term is a generic vocabulary term for which the meaning in terms of what is included and what is excluded is not pre-defined, but is established by the domain-specific regulations depending on the type of data reported."
A0C0V,Alcohol free,"The facet descriptor refers to products normally containing alcohol, subject to a treatment leading to products with no alcohol or a negligible level of it"
A0C0X,Microbiological or enzymatic (as part-nature),"The facet descriptor refers to natures referred to simpler organisms, like bacteria and yeasts or to enzymes from different sources"
A0C0Y,Neck skin (as part-nature),"Skin specifically from the neck. Used in the biological monitoring, especially for birds."
A0C10,Minced meat (as part-nature),Different cuts of meat that have been more or less finely minced
A0C12,Legislative-classes,This facet collects the classes described in regulations (like REG 1333/2008 for defining the use levels of Food Additives or the microbiological criteria of REG 2073/2005) that cannot be correctly expressed with terms and facets.
A0C13,"FA-18. Processed foods not covered by categories 1 to 17, excluding foods for infants and young children",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C15,"FA-17.2 Food supplements supplied in a liquid form, excluding food supplements for infants and young children",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C16,"FA-17.1 Food supplements supplied in a solid form, excluding food supplements for infants and young children",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C17,FA-17. Food supplements as defined in Directive 2002/46/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C18,"FA-16. Desserts excluding products covered in categories 1, 3 and 4",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C19,FA-15.2 Processed nuts,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1A,"FA-15.1 Potato-, cereal-, flour- or starch-based snacks",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1B,FA-15. Ready-to-eat savouries and snacks,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1C,FA-14.2.8 Other alcoholic beverages including mixtures of alcoholic beverages with non-alcoholic beverages and other alcoholic beverages based on distilled alcohol with alcoholic strength by volume less than 15 %,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1D,FA-14.2.7.3 Aromatised wine-product cocktails,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1E,FA-14.2.7.2 Aromatised wine-based drinks,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1F,FA-14.2.7.1 Aromatised wines,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1G,FA-14.2.7 Aromatised wine products as defined by Regulation (EU) No 251/2014,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1H,FA-14.2.6 Spirit drinks as defined in Regulation (EU) 2019/787,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1J,FA-14.2.5 Mead,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1K,FA-14.2.4 Fruit wine and made wine,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1L,FA-14.2.3 Cider and perry,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1M,FA-14.2.2 Wine and other products defined in Part II of Annex VII to Regulation (EU) No 1308/2013,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1N,FA-14.2.1 Beer and malt beverages,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1P,"FA-14.2 Alcoholic beverages, including alcohol-free and low-alcohol counterparts",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1Q,FA-14.1.5.2 Other,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1R,"FA-14.1.5.1 Coffee, coffee extracts",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1S,"FA-14.1.5 Coffee, tea, herbal and fruit infusions, chicory; tea, herbal and fruit infusions and chicory extracts; tea, plant, fruit and cereal preparations for infusions, as well as mixes and instant mixes of these products",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1T,FA-14.1.4 Flavoured drinks,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1V,FA-14.1.3 Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1X,FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1Y,"FA-14.1.1 Water, including natural mineral water as defined in Directive 2009/54/EC and spring water and all other bottled or packed waters",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C1Z,FA-14.1 Non-alcoholic beverages,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C20,FA-14. Beverages,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C21,FA-13.4 Foods suitable for people intolerant to gluten as defined by Commission Regulation (EC) No 41/2009 ( 4 ),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C22,FA-13.3 Dietary foods for weight control diets intended to replace total daily food intake or an individual meal (the whole or part of the total daily diet),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C23,FA-13.2 Dietary foods for special medical purposes defined in Directive 1999/21/EC (excluding products from food category 13.1.5),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C24,FA-13.1.5.2 Dietary foods for babies and young children for special medical purposes as defined in Directive 1999/21/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C25,FA-13.1.5.1 Dietary foods for infants for special medical purposes and special formulae for infants,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C26,FA-13.1.5 Dietary foods for infants and young children for special medical purposes as defined by Commission Directive 1999/21/EC ( 3 ) and special formulae for infants,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C27,FA-13.1.4 Other foods for young children,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C28,FA-13.1.3 Processed cereal-based foods and baby foods for infants and young children as defined by Commission Directive 2006/125/EC ( 2 ),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C29,FA-13.1.2 Follow-on formulae as defined by Directive 2006/141/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2A,FA-13.1.1 Infant formulae as defined by Commission Directive 2006/141/EC ( 1 ),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2B,FA-13.1 Foods for infants and young children,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2C,FA-13. Foods intended for particular nutritional uses as defined by Directive 2009/ 39/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2D,"FA-12.9 Protein products, excluding products covered in category 1.8",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2E,FA-12.8 Yeast and yeast products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2F,FA-12.7 Salads and savoury based sandwich spreads,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2G,FA-12.6 Sauces,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2H,FA-12.5 Soups and broths,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2J,FA-12.4 Mustard,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2K,FA-12.3 Vinegars and diluted acetic acid (diluted with water to 4-30 % by volume),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2L,FA-12.2.2 Seasonings and condiments,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2M,FA-12.2.1 Herbs and spices,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2N,"FA-12.2 Herbs, spices, seasonings",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2P,FA-12.1.2 Salt substitutes,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2Q,FA-12.1.1 Salt,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2R,FA-12.1 Salt and salt substitutes,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2S,"FA-12. Salts, spices, soups, sauces, salads and protein products",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2T,FA-11.4.3 Table-top sweeteners in tablets,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2V,FA-11.4.2 Table-top sweeteners in powder form,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2X,FA-11.4.1 Table-top sweeteners in liquid form,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2Y,FA-11.4 Table-top sweeteners,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C2Z,FA-11.3 Honey as defined in Directive 2001/110/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C30,FA-11.2 Other sugars and syrups,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C31,FA-11.1 Sugars and syrups as defined by Directive 2001/111/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C32,"FA-11. Sugars, syrups, honey and table-top sweeteners",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C33,FA-10.2 Processed eggs and egg products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C34,FA-10.1 Unprocessed eggs,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C35,FA-10. Eggs and egg products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C36,FA-09.3 Fish roe,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C37,FA-09.2 Processed fish and fishery products including mollusks and crustaceans,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C38,FA-09.1.2 Unprocessed molluscs and crustaceans,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C39,FA-09.1.1 Unprocessed fish,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3A,FA-09.1 Unprocessed fish and fisheries products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3B,FA-09. Fish and fisheries products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3C,FA-08.3.4.3 Other traditionally cured products. (Immersion and dry cured processes used in combination or where nitrite and/or nitrate is included in a compound product or where the curing solution is injected into the product prior to cooking),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3D,"FA-08.3.4.2 Traditional dry cured products. (Dry curing process involves dry application of curing mixture containing nitrites and/or nitrates, salt and other components to the surface of the meat followed by a period of stabilisation/maturation).",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3E,"FA-08.3.4.1 Traditional immersion cured products (Meat products cured by immersion in a curing solution containing nitrites and/or nitrates, salt and other components)",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3F,FA-08.3.4 Traditionally cured meat products with specific provisions concerning nitrites and nitrates,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3G,FA-08.3.3 Casings and coatings and decorations for meat,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3H,FA-08.3.2 Heat-treated meat products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3J,FA-08.3.1 Non-heat-treated meat products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3K,FA-08.3 Meat products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3L,FA-08.2 Meat preparations as defined by Regulation (EC) No 853/2004,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3M,"FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation (EC) N0 853/2004",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3P,FA-08. Meat,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3Q,FA-07.2 Fine bakery wares,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3R,"FA-07.1.2 Pain courant français; Friss búzakenyér, fehér és félbarna kenyerek",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3S,"FA-07.1.1 Bread prepared solely with the following ingredients: wheat flour, water, yeast or leaven, salt",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3T,FA-07.1 Bread and rolls,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3V,FA-07. Bakery wares,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3X,FA-06.7 Pre-cooked or processed cereals,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3Y,FA-06.6 Batters,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C3Z,FA-06.5 Noodles,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C40,FA-06.4.5 Fillings of stuffed pasta (ravioli and similar),Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C41,FA-06.4.4 Potato gnocchi,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C42,FA-06.4.3 Fresh pre-cooked pasta,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C43,FA-06.4.2 Dry pasta,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C44,FA-06.4.1 Fresh pasta,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C45,FA-06.4 Pasta,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C46,FA-06.3 Breakfast cereals,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C47,FA-06.2.2 Starches,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C48,FA-06.2.1 Flours,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C49,FA-06.2 Flours and other milled products and starches,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4A,"FA-06.1 Whole, broken, or flaked grain",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4B,FA-06. Cereals and cereal products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4C,"FA-05.4 Decorations, coatings and fillings, except fruit based fillings covered by category 4.2.4",Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4D,FA-05.3 Chewing gum,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4E,FA-05.2 Other confectionery including breath refreshening microsweets,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4F,FA-05.1 Cocoa and chocolate products as covered by Directive 2000/36/EC,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4G,FA-05. Confectionery,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4H,FA-04.2.6 Processed potato products,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4J,FA-04.2.5.4 Nut butters and nut spreads,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
A0C4K,FA-04.2.5.3 Other similar fruit or vegetable spreads,Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)
