ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Live fishes,Live fishes,A0V8Z#F02.A0EJV,Bigeye stargazer (as animal),Dactyloscopus crossotus,
Live fishes,Live fishes,A0TVA#F02.A0EJV,Red-barred rubble goby (as animal),Trimmatom eviotops,
Live fishes,Live fishes,A0KFB#F02.A0EJV,Macrhybopsis (generic) (as animal),Macrhybopsis spp.,
Live birds,Live birds,A1ATK#F02.A0EJX,White-winged Duck (as animal),Asarcornis scutulata$Cairina scutulata,White-winged Wood Duck
Live fishes,Live fishes,A08QQ#F02.A0EJV,Rock sole (as animal),Lepidopsetta bilineata,Fausse limande du Pacifique$Lenguado del Pacífico
Live fishes,Live fishes,A0QPF#F02.A0EJV,Bigtooth corvina (as animal),Isopisthus parvipinnis,Acoupa aile-courte$Corvinata aletacorta
Live flora for herbs or flowers,Live plants for herbs or flowers,A05QC#F02.A0EKD,Vietnamese mint (as plant),Persicaria odorata (Lour.) Soják$Polygonum odoratum,
LIVE ANIMALS,Live animals,A12LF#F02.A069F,Colossendeis enigmatica (as animal),Colossendeis enigmatica,
LIVE FISHES,Live fishes,A0VPX#F02.A0EJV,Labrisomus (generic) (as animal),Labrisomus spp.,
Live molluscs,Live molluscs,A119Z#F02.A0EJR,Arcuate mussel (as animal),Arcuatula arcuatula,Modiolaire arquée
LIVE MOLLUSCS,Live molluscs,A0AMD#F02.A0EJR,Trochus (generic) (as animal),Trochus spp.,Banded Trochus Snail
live fishes,Live fishes,A0LDB#F02.A0EJV,Headwater catfish (as animal),Ictalurus lupus,
live crustaceans,Live crustaceans,A0AFL#F02.A0EJQ,Red snapping shrimp (as animal),Alpheus glaber,Cardon rouge$Camarón carneo$Atlantic Pistol Shrimp
Dried fish,"Dried fish, Ling, Drying, FA-09.2 Processed fish and fishery products including mollusks and crustaceans",A02JV#F02.A0EMT$F27.A02CC$F28.A07KG$F33.A0C37,"Ling, dried",Molva molva$Molva byrkelange Walbaum$Molva dipterygia$Molva elongata Otto,
LIVE FISHES,Live fishes,A0PEM#F02.A0EJV,Chaudhuriidae (as animal),Chaudhuriidae,
LIVE FISHES,Live fishes,A092E#F02.A0EJV,Small toothed jobfish (as animal),Aphareus furca,Vivaneau tidents$Pargo boquidulce
live crustaceans,Live crustaceans,A0ZSQ#F02.A0EJQ,Cancer (generic) (as animal),Cancer spp.,
Live fishes,Live fishes,A0MBJ#F02.A0EJV,Congriscus (generic) (as animal),Congriscus spp.,
Live Fungi,Live fungi,A16KT#F02.A0EKB,Talaromyces emersonii (as organism),Talaromyces emersonii,
live molluscs,Live molluscs,A10ZA#F02.A0EJR,Golden volute (as animal),Provocator mirabilis,
LIVE insect AND ARACHNIDS,Live insects and arachnids,A196L#F02.A0EJP,Aedes atropalpus (as animal),Aedes atropalpus,American rock pool mosquito
Live Molluscs,Live molluscs,A0AYD#F02.A0EJR,Cholga mussel (as animal),Aulacomya ater,Moule cholga$Cholga
live fungi,Live fungi,A16MG#F02.A0EKB,Sporobolomyces singularis (as organism),Sporobolomyces singularis$Bullera singularis$Hamamotoa singularis,
LIVE FISHES,Live fishes,A0NNL#F02.A0EJV,Green rivulus (as animal),Rivulus cylindraceus,
Indo-Pacific swamp crab and Crustaceans meat and Indo-Pacific swamp crab and FA-09.1.2 Unprocessed molluscs and crustaceans,"Indo-Pacific swamp crab, Crustaceans meat, Indo-Pacific swamp crab, FA-09.1.2 Unprocessed molluscs and crustaceans",A0FCM#F01.A0A28$F02.A0EMF$F27.A0FCM$F33.A0C38,Indo-Pacific swamp crab,Scylla serrata,
live fishes,Live fishes,A08NM#F02.A0EJV,Piper gurnard (as animal),Trigla lyra,Grondin lyre$Garneo$Lyre gurnard
Feed related  Animal feed,"Feed-related, Animal feed",A0BEL#F02.A0F0Y$F23.A07TV,"Copra, hydrolysed expeller (feed)",,
Live Plants,Live plants,A170F#F02.A0BA0,Polytrichaceae - family (as plant),Polytrichaceae (family),
Live fishes,Live fishes,A0L2D#F02.A0EJV,Hypodoras (generic) (as animal),Hypodoras spp.,
Dairy imitate,"Dairy imitate, Soyabeans, FA-01.8 Dairy analogues, including beverage whiteners",A03TT#F02.A06HP$F04.A015P$F33.A0C5A,Tofu,,soy curd
LIVE MOLLUSCS,Live molluscs,A0B48#F02.A0EJR,Atlantic bird squid (as animal),Ornithoteuthis antillarum,Encornet oiseau$Pota pajara$Atlantic bird Squid
live fishes,Live fishes,A0YNB#F02.A0EJV,Phrynichthys wedli (as animal),Phrynichthys wedli,
Live Fishes,Live fishes,A0HXT#F02.A0EJV,Reinhardt’s lanternfish (as animal),Hygophum reinhardtii,
Fruit/vegetable nectar ready to drink,"Fruit/vegetable nectar ready to drink, Drinking water, Fruit used as fruit, Juicing, FA-14.1.3 Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products",A03BB#F02.A068X$F04.A03DK$F04.A04RK$F28.A07LN$F33.A0C1V,Fruit nectars (min. 25-50% fruit as defined in EU legislation),,
Live fishes,Live fishes,A0KDB#F02.A0EJV,Henicorhynchus (generic) (as animal),Henicorhynchus spp.,
LIVE FISHES,Live fishes,A0914#F02.A0EJV,Cubera snapper (as animal),Lutjanus cyanopterus,Vivaneau cubera$Pargo cubera
Live plants,Live plants,A17DB#F02.A0BA0,Geranium robertianum L. (as plant),Geranium robertianum L.,
Live fishes,Live fishes,A0HFE#F02.A0EJV,Astronesthes niger (as animal),Astronesthes niger,
Live fishes,Live fishes,A0NKV#F02.A0EJV,Procatopus aberrans (as animal),Procatopus aberrans,
live insects and arachnids,Live insects and arachnids,A18GK#F02.A0EJP,European dark bee (as animal),Apis mellifera mellifera,
Live fishes,Live fishes,A088Q#F02.A0EJV,Oncorhynchus rhodurus (as animal),Oncorhynchus rhodurus,Biwa Salmon
LIVE MOLLUSCS,Live molluscs,A12XV#F02.A0EJR,Hairy blackfish (as animal),Actinopyga miliaris,
Feed related  Animal feed,"Feed-related, Animal feed",A18XZ#F02.A0F0Y$F23.A07TV,Trehalose (feed),,
"NIGHTSHADE, BLACK, LEAVES USED AS LEAFY VEGETABLES, NIGHTSHADE, BLACK, FA-04.1 UNPROCESSED FRUIT AND VEGETABLES","Nightshade, black, Leaves used as leafy vegetables, Nightshade, black, FA-04.1 Unprocessed fruit and vegetables",A00NL#F01.A05GD$F02.A0EKV$F27.A00NL$F33.A0C51,"Nightshade, black",Solanum nigrum L.,Ensugga
"Drying, Dried fruits, Dates, FA-04.2.1 Dried fruit and vegetables","Dried fruits, Dates, Drying, FA-04.2.1 Dried fruit and vegetables",A01MF#F02.A0ELV$F27.A01HF$F28.A07KG$F33.A0C4V,Dried dates,,
Live fishes,Live fishes,A0MRS#F02.A0EJV,Muraenolepis andriashevi (as animal),Muraenolepis andriashevi,
LIVE FRUIT PLANTS,Live fruit plants,A0E0R#F02.A0EKF,Aronia (black) (as plant),Aronia melanocarpa (Michx.) Elliott$Photinia melanocarpa (Michx.) K.R.Robertson & J.B.Phipps,
live fishes,Live fishes,A0QMN#F02.A0EJV,Genyonemus (generic) (as animal),Genyonemus spp.,
Live insect And Arachnids,Live insects and arachnids,A18GY#F02.A0EJP,Giants honey bee (as animal),Apis dorsata,
Live Plants,Live plants,A178N#F02.A0BA0,Asplenium scolopendrium L. (as plant),Asplenium scolopendrium L.,
live birds,Live birds,A176B#F02.A0EJX,Little Grebe (as animal),Tachybaptus ruficollis,Dabchick
LIVE FISHES,Live fishes,A0RFM#F02.A0EJV,Krobia (generic) (as animal),Krobia spp.,
Rock rose,"Rock rose, Leaves used for infusions or hot drinks, Rock rose infusion leaves, FA-14.1.5.2 Other",A0D3H#F01.A0E2T$F02.A0EKX$F27.A0D3H$F33.A0C1Q,Rock rose infusion leaves,Cistus incanus Sibth. & Sm.$Cistus creticus L.$Cistus villosus L.,
LIVE FISHES,Live fishes,A09LR#F02.A0EJV,Rainbow runner (as animal),Elagatis bipinnulata,Comète saumon$Macarela salmón
Live fishes,Live fishes,A0X9K#F02.A0EJV,Porocottus tentaculatus (as animal),Porocottus tentaculatus,
LIVE MOLLUSCS,Live molluscs,A11EV#F02.A0EJR,Venus (generic) (as animal),Venus spp.,
LIVE BIRDS,Live birds,A1A7F#F02.A0EJX,Western Crowned Leaf-warbler (as animal),Phylloscopus occipitalis,Western Crowned-Warbler$Western Crowned Warbler
LIVE MOLLUSCS,Live molluscs,A131E#F02.A0EJR,Prickly redfish (as animal),Thelenota ananas,Holothurie ananas
Live Fishes,Live fishes,A07YB#F02.A0EJV,Mediterranean barbel (as animal),Barbus meridionalis,Mediterranean Barbel
"GROATS, FRAGMENTS / GRANULES / SPLINTERS, BARLEY GRAINS, GRINDING / MILLING / CRUSHING, FA-06.1 WHOLE, BROKEN, OR FLAKED GRAIN","Groats, Fragments / granules / splinters, Barley grains, Grinding / milling / crushing, FA-06.1 Whole, broken, or flaked grain",A065N#F02.A068B$F03.A06JC$F27.A000P$F28.A07LA$F33.A0C4A,Barley groats,,
live fishes,Live fishes,A0H8E#F02.A0EJV,Loosescale smooth-head (as animal),Einara macrolepis,
live fishes,Live fishes,A0J3E#F02.A0EJV,"Tambacu, hybrid (as animal)",P. mesopotamicus x C. macropomum,"Pacotana, híbrido"
live fishes,Live fishes,A0T0E#F02.A0EJV,Dwarf wrymouth (as animal),Cryptacanthodes aleutensis,
"nectarine, fruits used as fruit, nectarines, fa-04.1 unprocessed fruit and vegetables","Nectarine, Fruits used as fruit, Nectarines, FA-04.1 Unprocessed fruit and vegetables",A01GN#F01.A061E$F02.A0ELC$F27.A01GN$F33.A0C51,Nectarines,Persica vulgaris Mill. var. nectarina (Alton)$Prunus persica (L.) Batsch. var. nectarina,Fuzzy-less peach$Juicy peach$Brazilian peach
LIVE CRUSTACEANS,Live crustaceans,A09ZH#F02.A0EJQ,Australian crayfish (as animal),Euastacus armatus,Écrevisse d'Australie$Cangrejo de río de Australia
LIVE MOLLUSCS,Live molluscs,A0B2B#F02.A0EJR,Weathervane scallop (as animal),Patinopecten caurinus,Pecten géant du Pacifique$Vieira gigante del Pacífico$Weathervane Scallop
LIVE FISHES,Live fishes,A0MKR#F02.A0EJV,Labichthys yanoi (as animal),Labichthys yanoi,
Live fishes,Live fishes,A0LDX#F02.A0EJV,Margined madtom (as animal),Noturus insignis,
live birds,Live birds,A1ALX#F02.A0EJX,Blue-winged Macaw (as animal),Primolius maracana$Propyrrhura maracana maracana$Ara maracana maracana,
LIVE PLANTS,Live plants,A191Y#F02.A0BA0,Grewia damine Gaertn. (as plant),Grewia damine Gaertn.$Grewia bicolor Juss.,
Live fishes,Live fishes,A0NPY#F02.A0EJV,Lepophidium aporrhox (as animal),Lepophidium aporrhox,Brotule sombre$Perla lucia
Live Fruiting Vegetables,Live fruiting vegetables,A05DG#F02.A0EKN,Balsam apple (as plant),Momordica balsamina L.,
Live fishes,Live fishes,A0PKC#F02.A0EJV,Foursaddle grouper (as animal),Epinephelus spilotoceps,Mérou quatre selles$Mero cuatro monturas
live molluscs,Live molluscs,A0ATJ#F02.A0EJR,Solid surf clam (as animal),Spisula solida,Spisule épaisse
live molluscs,Live molluscs,A12XJ#F02.A0EJR,Abatus (generic) (as animal),Abatus spp.,
LIVE FISHES,Live fishes,A09YY#F02.A0EJV,Cobbler (as animal),Cnidoglanis macrocephalus,
Live Fishes,Live fishes,A0FTS#F02.A0EJV,Harlequin catshark (as animal),Ctenacis fehlmanni,Requin chat arlequin$Tollo coludo arlequín
Live Plants,Live plants,A150K#F02.A0BA0,Leucaena leucocephala (Lam.) de Wit (as plant),Leucaena leucocephala (Lam.) de Wit,
LIVE FISHES,Live fishes,A0NLM#F02.A0EJV,Phalloceros (generic) (as animal),Phalloceros spp.,
live fishes,Live fishes,A0M8K#F02.A0EJV,Rhinomuraena (generic) (as animal),Rhinomuraena spp.,
Live fishes,Live fishes,A0GAC#F02.A0EJV,Smalleye stingray (as animal),Dasyatis microps,
live birds,Live birds,A17ZT#F02.A0EJX,European Bee-eater (as animal),Merops apiaster,
Live Fishes,Live fishes,A0XKG#F02.A0EJV,Bembridae (as animal),Bembridae,
Pacific herring,"Pacific herring, Fish meat, Herring, pacific, FA-09.1.1 Unprocessed fish",A02DG#F01.A052D$F02.A0EMD$F27.A02DG$F33.A0C39,"Herring, pacific",Clupea pallasii,Pacific herring
live crustaceans,Live crustaceans,A0A3Y#F02.A0EJQ,Circular crab (as animal),Atelecyclus rotundatus Olivi,Round crab$Old man's face crab
LIVE FISHES,Live fishes,A0PDL#F02.A0EJV,Hornlip mullet (as animal),Oedalechilus labiosus,Mulet labéon$Lisa morruda
LIVE FISHES,Live fishes,A0VND#F02.A0EJV,Pygmy dragonet (as animal),Diplogrammus pygmaeus,
Live fishes,Live fishes,A0KDT#F02.A0EJV,Inlecypris auropurpureus (as animal),Inlecypris auropurpureus,
food flavours,Food flavours,A06QE#F02.A06CD,Lemon flavour,,
live molluscs,Live molluscs,A122V#F02.A0EJR,Sepia erostrata (as animal),Sepia erostrata,
LIVE FISHES,Live fishes,A0M6G#F02.A0EJV,Spotjaw moray (as animal),Gymnothorax mareei,Murène cobra$Morena boca manchada
LIVE MAMMALS,Live mammals,A16BY#F02.A0EJN,Oryx antelopes (as animal),Oryx spp.,
live molluscs,Live molluscs,A12TZ#F02.A0EJR,Clypeaster (generic) (as animal),Clypeaster spp.,
Live Fishes,Live fishes,A0QES#F02.A0EJV,Two-lined monocle bream (as animal),Scolopsis bilineata,Mamila griffée$Besugato rayado
Live vegetable for infusions,Live vegetables for infusions,A066F#F02.A0EKC,Valerian for root (as plant),Valeriana officinalis L.,
live fishes,Live fishes,A0P1F#F02.A0EJV,Diretmus (generic) (as animal),Diretmus spp.,
Live plants,Live plants,A13QB#F02.A0BA0,Artemisia maritima L. (as plant),Artemisia maritima L.$Seriphidium maritimum (L.) Poljakov.,
Live fishes,Live fishes,A0JYP#F02.A0EJV,Gila (generic) (as animal),Gila spp.,
Live crustaceans,Live crustaceans,A0AB6#F02.A0EJQ,Deepwater humpback Shrimp (as animal),Solenocera necopina Burkenroad,
LIVE MOLLUSCS,Live molluscs,A11VG#F02.A0EJR,Dilate piddock (as animal),Barnea dilatata,Pholade dilatée
Live Insects And arachnoid,Live insects and arachnids,A19KN#F02.A0EJP,Phlebotomus syriacus (as animal),Phlebotomus syriacus,
Live fishes,Live fishes,A08T0#F02.A0EJV,Bigeye barracuda (as animal),Sphyraena forsteri,Bécune de Forster$Picuda de Forster$Forster's Barracuda
live fishes,Live fishes,A0RMK#F02.A0EJV,Pseudotropheus ater (as animal),Pseudotropheus ater,
live fishes,Live fishes,A0SRL#F02.A0EJV,Neozoarces (generic) (as animal),Neozoarces spp.,
Banana AB hybrid cultivar that is Fruits used as fruit and Plantains - paradisiaca cultivars and FA-04.1 Unprocessed fruit and vegetables,"Banana AB hybrid cultivars, Fruits used as fruit, Plantains - paradisiaca cultivars, FA-04.1 Unprocessed fruit and vegetables",A0DQG#F01.A064N$F02.A0ELC$F27.A0DQG$F33.A0C51,Plantains - paradisiaca cultivars,Musa acuminata x Musa balbisiana$Musa x paradisiaca,Plantains paradisiaca$African Plantains$Saba banana
Microorganisms,"Microorganisms, live",A16HV#F02.A06CK,Corynebacterium glutamicum (as organism),Corynebacterium glutamicum,
Live fishes,Live fishes,A0LAM#F02.A0EJV,Dotted catfish (as animal),Parauchenoglanis guttatus,
Live fishes,Live fishes,A09HZ#F02.A0EJV,Tarry hogfish (as animal),Bodianus bilunulatus,Vieille à selle noire$Vieja ensillada$Tarry Hogfish
live birds,Live birds,A1A0V#F02.A0EJX,Sind Woodpecker (as animal),Dendrocopos assimilis,
Live molluscs,Live molluscs,A10FD#F02.A0EJR,King helmet (as animal),Cassis tuberosa,Casque royal$Casco real
LIVE MOLLUSCS,Live molluscs,A0B2L#F02.A0EJR,Golden cuttlefish (as animal),Sepia esculenta,Seiche dorée$Sepia dorada
Live fishes,Live fishes,A0GGA#F02.A0EJV,Urotrygon microphthalmum (as animal),Urotrygon microphthalmum,
"Knotgrass, Leaves used for infusions or hot drinks, Knotgrass infusion leaves, FA-14.1.5.2 Other","Knotgrass, Leaves used for infusions or hot drinks, Knotgrass infusion leaves, FA-14.1.5.2 Other",A0D4M#F01.A0E9L$F02.A0EKX$F27.A0D4M$F33.A0C1Q,Knotgrass infusion leaves,Polygonum aviculare L.,
Live fishes,Live fishes,A099L#F02.A0EJV,Great lanternshark (as animal),Etmopterus princeps,Sagre rude$Tollo lucero raspa
Live fishes,Live fishes,A09AS#F02.A0EJV,Sailfin roughshark (as animal),Oxynotus paradoxus,Humantin$Cerdo marino velero
Live fishes,Live fishes,A0QBS#F02.A0EJV,Emmelichthyops (generic) (as animal),Emmelichthyops spp.,
Spices buds that is Bud and Other Bud spices and FA-12.2.1 Herbs and spices,"Spices buds, Bud, Other Bud spices, FA-12.2.1 Herbs and spices",A01AN#F01.A05VN$F02.A066Z$F27.A01AN$F33.A0C2M,Other Bud spices,,
Live plants,Live plants,A178V#F02.A0BA0,Linzia nigritiana (Oliv. & Hiern) Isawumi (as plant),Linzia nigritiana (Oliv. & Hiern) Isawumi,
live fishes,Live fishes,A0N2F#F02.A0EJV,Idiolophorhynchus (generic) (as animal),Idiolophorhynchus spp.,
"Larkspur, Flowers Used For Infusions Or Hot Drinks, Larkspur Infusion Flowers, Fa-14.1.5.2 Other","Larkspur, Flowers used for infusions or hot drinks, Larkspur infusion flowers, FA-14.1.5.2 Other",A0D8D#F01.A0E3K$F02.A0EKZ$F27.A0D8D$F33.A0C1Q,Larkspur infusion flowers,Consolida regalis Gray$Delphinium consolida (L.) Raf.,
Live fishes,Live fishes,A0MAG#F02.A0EJV,Blacktail pike-conger (as animal),Hoplunnis diomediana,
Basic sweet masses that is Sucrose and Hen egg white and FA-05.2 Other confectionery including breath refreshening microsweets,"Basic sweet masses, Sucrose, Hen egg white, FA-05.2 Other confectionery including breath refreshening microsweets",A036A#F02.A06EQ$F04.A032H$F04.A031T$F33.A0C4E,Meringue mixture,,
Live fishes,Live fishes,A0XKS#F02.A0EJV,Bathylutichthyidae (as animal),Bathylutichthyidae,
live fishes,Live fishes,A0Y0A#F02.A0EJV,Shrimp flounder (as animal),Gastropsetta frontalis,
LIVE INSECTS AND arachnid,Live insects and arachnids,A0CLS#F02.A0EJP,Coccinellidae (as animal),Coccinellidae,Ladybirds
live crustaceans,Live crustaceans,A0ZFQ#F02.A0EJQ,Lavender burrowing crayfish (as animal),Fallicambarus byersi,
LIVE FISHES,Live fishes,A0GFF#F02.A0EJV,Wide stingaree (as animal),Urolophus expansus,
live birds,Live birds,A182M#F02.A0EJX,Acrocephalus (as animal),Acrocephalus sp.,
LIVE FISHES,Live fishes,A0K8H#F02.A0EJV,Barbopsis (generic) (as animal),Barbopsis spp.,
live molluscs,Live molluscs,A11NA#F02.A0EJR,Villorita (generic) (as animal),Villorita spp.,
Live Fruit Plants,Live fruit plants,A05ZX#F02.A0EKF,Huckleberries (as plant),Vaccinium parvifolium L,
"Dracontomelon Duperreanum, Fruits Used As Fruit, Dracontomelon Duperreanum Fruits, Fa-04.1 Unprocessed Fruit And Vegetables","Dracontomelon duperreanum, Fruits used as fruit, Dracontomelon duperreanum fruits, FA-04.1 Unprocessed fruit and vegetables",A16QN#F01.A16QP$F02.A0ELC$F27.A16QN$F33.A0C51,Dracontomelon duperreanum fruits,Dracontomelon duperreanum,Quả sấu
"Vegetable Based Dishes, Garden Vegetables And Primary Derivatives Thereof","Vegetable based dishes, Garden vegetables and primary derivatives thereof",A03YG#F02.A06GK$F04.A07XJ,Vegetable soufflé,,
LIVE MOLLUSCS,Live molluscs,A12NJ#F02.A0EJR,Psilaster (generic) (as animal),Psilaster spp.,
Live fishes,Live fishes,A0LRY#F02.A0EJV,Zungaropsis multimaculatus (as animal),Zungaropsis multimaculatus,
Live birds,Live birds,A1A2C#F02.A0EJX,Streak-throated Swallow (as animal),Petrochelidon fluvicola$Hirundo fluvicola,
live crustaceans,Live crustaceans,A0AJH#F02.A0EJQ,Southern white shrimp (as animal),Penaeus schmitti,Crevette ligubam du Sud$Langostino blanco sureño$Southern white Shrimp
Live fishes,Live fishes,A0N2Z#F02.A0EJV,Ventrifossa (generic) (as animal),Ventrifossa spp.,
Feed-related and Animal feed,"Feed-related, Animal feed",A18XG#F02.A0F0Y$F23.A07TV,Cholesterol from woolgrease (feed),,
LIVE FISHES,Live fishes,A0G4R#F02.A0EJV,Greenback skate (as animal),Raja gudgeri,
Plants,"Plants, Roots used for infusions or hot drinks, Roots used for herbal infusions, FA-14.1.5.2 Other",A03JS#F01.A058Y$F02.A0ERY$F27.A03JS$F33.A0C1Q,Roots used for herbal infusions,,(c) Herbal infusion materials from roots
Live Fishes,Live fishes,A0SQX#F02.A0EJV,Eulophias owashii (as animal),Eulophias owashii,
live fishes,Live fishes,A0YJE#F02.A0EJV,Broadbodied toadfish (as animal),Riekertia ellisi,
"Miscellaneous Doughs, Quark, Fa-07.2 Fine Bakery Wares","Miscellaneous doughs, Quark, FA-07.2 Fine bakery wares",A009R#F02.A06DL$F04.A02QK$F33.A0C3Q,Quark oil dough,,Quark-Öl-Teig
Live Crustaceans,Live crustaceans,A0Z1L#F02.A0EJQ,Longlegged rough shrimp (as animal),Trachypenaeus longipes,
Hot drinks and similar,"Hot drinks and similar, Drinking water, Instant coffee powder, Reconstitution from concentrate, powder or other dehydrated form, FA-14.1.5.1 Coffee, coffee extracts",A03KE#F02.A068Y$F04.A03DK$F04.A03GQ$F28.A07MR$F33.A0C1R,Instant coffee (beverage),,
"Leaves used as leafy vegetables with Plants, Spinaches and similar-, FA-04.1 Unprocessed fruit and vegetables","Plants, Leaves used as leafy vegetables, Spinaches and similar-, FA-04.1 Unprocessed fruit and vegetables",A00MH#F01.A058Y$F02.A0EKV$F27.A00MH$F33.A0C51,Spinaches and similar-,,
live fishes,Live fishes,A08GB#F02.A0EJV,Bearded croaker (as animal),Johnius amblycephalus,
"ALOCASIA MACRORRHIZOS, ROOTS AND OTHER UNDERGROUND PARTS USED AS STAPLE FOOD, ALOCASIA, FA-04.1 UNPROCESSED FRUIT AND veggie","Alocasia macrorrhizos, Roots and other underground parts used as staple food, Alocasia, FA-04.1 Unprocessed fruit and vegetables",A010Q#F01.A05KY$F02.A0F5F$F27.A010Q$F33.A0C51,Alocasia,Alocasia macrorrhizos (L.) G. Don,
LIVE FISHES,Live fishes,A0FJD#F02.A0EJV,Northern wobbegong (as animal),Orectolobus wardi,Requin-tapis savetier$Tapicero zapatilla$-
LIVE FISHES,Live fishes,A0MRQ#F02.A0EJV,Smallhead moray cod (as animal),Muraenolepis microcephalus,Gadomurène microcéphale$Gadimorena microcéfala
Live Fishes,Live fishes,A08BZ#F02.A0EJV,Black-streaked monocle bream (as animal),Scolopsis taeniata,Mamila dos noir
LIVE FISHES,Live fishes,A0P0E#F02.A0EJV,Gyrinomimus (generic) (as animal),Gyrinomimus spp.,
LIVE FISHES,Live fishes,A0SFH#F02.A0EJV,Dinolestidae (as animal),Dinolestidae,
live fishes,Live fishes,A0J6Y#F02.A0EJV,Creagrutus (generic) (as animal),Creagrutus spp.,
LIVE PLANTS,Live plants,A15SS#F02.A0BA0,Spirodela polyrrhiza (L.) Schleid. (as plant),Spirodela polyrrhiza (L.) Schleid.,
Live Plants,Live plants,A13AP#F02.A0BA0,Molluginaceae - family (as plant),Molluginaceae (family),
"Flowering body with Flowering brassica, Flowering brassica, FA-04.1 Unprocessed fruit and vegetables","Flowering brassica, Flowering body, Flowering brassica, FA-04.1 Unprocessed fruit and vegetables",A00FL#F01.A05AS$F02.A067C$F27.A00FL$F33.A0C51,Flowering brassica,,(a) flowering brassica
LIVE FISHES,Live fishes,A0J7Y#F02.A0EJV,Naked characin (as animal),Gymnocharacinus bergii,
Live Birds,Live birds,A1AJS#F02.A0EJX,Pin-tailed Sandgrouse (as animal),Pterocles alchata,
LIVE FISHES,Live fishes,A0TFN#F02.A0EJV,Calamiana aliceae (as animal),Calamiana aliceae,
Live fishes,Live fishes,A0VRL#F02.A0EJV,Neoclinus (generic) (as animal),Neoclinus spp.,
"SCHISANDRA BERRY, fruit USED AS FRUIT, SCHISANDRA BERRIES, FA-04.1 UNPROCESSED FRUIT AND VEGETABLES","Schisandra berry, Fruits used as fruit, Schisandra berries, FA-04.1 Unprocessed fruit and vegetables",A0DVD#F01.A0EBV$F02.A0ELC$F27.A0DVD$F33.A0C51,Schisandra berries,Schisandra chinensis (Turcz.) Baill,Five flavor berry
LIVE FISHES,Live fishes,A09R0#F02.A0EJV,Royal flagfin (as animal),Aulopus filamentosus,
"Seed, Andean lupin, FA-04.1 Unprocessed fruit and vegetables, Lupini bean","Lupini bean, Seed, Andean lupin, FA-04.1 Unprocessed fruit and vegetables",A0DEX#F01.A05HS$F02.A066P$F27.A0DEX$F33.A0C51,Andean lupin (without pods),Lupinus mutabilis Sweet,Pearl lupin (without pods)
live molluscs,Live molluscs,A12RE#F02.A0EJR,Bathypectinura (generic) (as animal),Bathypectinura spp.,
Preserved meat cuts Pig fresh meat Curing FA 08 3 1 Non heat treated meat products FA 08 3 2 Heat treated meat products,"Preserved meat cuts, Pig fresh meat, Curing, FA-08.3.1 Non-heat-treated meat products, FA-08.3.2 Heat-treated meat products",A022T#F02.A06AP$F27.A01RG$F28.A07KD$F33.A0C3J$F33.A0C3H,"Ham, pork",,
LIVE FISHES,Live fishes,A0NMK#F02.A0EJV,Austrofundulus (generic) (as animal),Austrofundulus spp.,
live plants,Live plants,A15XP#F02.A0BA0,Taxillus chinensis (DC.) Danser (as plant),Taxillus chinensis (DC.) Danser,
Animal feed Feed-related,"Feed-related, Animal feed",A0BK6#F02.A0F0Y$F23.A07TV,Coffee skins (feed),,
LIVE FISHES,Live fishes,A09CK#F02.A0EJV,Spinetail ray (as animal),Bathyraja spinicauda,Raie à queue épineuse
Live Fishes,Live fishes,A0PNZ#F02.A0EJV,Schultzea (generic) (as animal),Schultzea spp.,
Live Birds,Live birds,A18HR#F02.A0EJX,Coraciiformes (as animal),Coraciiformes (order),
LIVE MAMMALS,Live mammals,A16CX#F02.A0EJN,Canidae (as animal),Canidae(family),
food flavours,Food flavours,A06RS#F02.A06CD,Oregano flavour,,
Live plants,Live plants,A14ST#F02.A0BA0,Hybanthus calceolaria (L.) Oken (as plant),Hybanthus calceolaria (L.) Oken$Hybanthus ipecacuanha (L.) Baill.$Hybanthus ipecacuanha (L.) Oken$Ionidium ipecacuanha (L.) Vent.,
Crisp bread,"Crisp bread, Rye grain, White/refined, FA-07.2 Fine bakery wares",A006C#F02.A06CQ$F04.A001K$F10.A07XK$F33.A0C3Q,"Crisp bread, rye, refined flour",,
Aromatic herbs or flowers Aromatic flowers Marigold flowers FA 04 1 Unprocessed fruit and vegetables,"Aromatic herbs or flowers, Aromatic flowers, Marigold flowers, FA-04.1 Unprocessed fruit and vegetables",A00XT#F01.A05MX$F02.A0F0D$F27.A00XT$F33.A0C51,Marigold flowers,Tagetes genus,
LIVE FISHES,Live fishes,A0FHM#F02.A0EJV,Alopiidae (as animal),Alopiidae,
Live fishes,Live fishes,A0VVN#F02.A0EJV,Red gurnard perch (as animal),Helicolenus percoides,
LIVE FISHES,Live fishes,A0SDF#F02.A0EJV,African blackspot threadfin (as animal),Polydactylus malagasyensis,Barbure tâche noire d'Afrique$Barbudo mancha negra africano
LIVE MOLLUSCS,Live molluscs,A12CB#F02.A0EJR,Abralia andamanica (as animal),Abralia andamanica,
LIVE NUTS AND SEED PLANTS,Live nuts and seed plants,A05RK#F02.A0EKG,Pecan (as plant),Carya illinoensis (Wangenh.) K.Koch,
